vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1425,4,0.002807017543859649,-0.9116837270988255,-0.8978065485592351,-1.1244060824033693,-0.6919825797067088,1
1,1425,6,0.004210526315789474,-0.583072022919574,-0.5798374801440463,-0.6919825797067088,-0.49253309008446483,2
2,1425,5,0.0035087719298245615,-0.42939485787987197,-0.4255700459859506,-0.49253309008446483,-0.379208536400502,3
3,1424,8,0.0056179775280898875,-0.33291684798704696,-0.3364924419934627,-0.379208536400502,-0.28967023615732196,4
4,1425,8,0.005614035087719298,-0.2506849128492197,-0.24965942353680667,-0.28955064228557564,-0.20915807823968785,5
5,1425,9,0.00631578947368421,-0.1698986965044428,-0.17241264699995898,-0.20915807823968785,-0.13162874854289622,6
6,1424,17,0.011938202247191011,-0.09876237873220635,-0.09931141157435987,-0.13162874854289622,-0.06881516028838226,7
7,1425,16,0.011228070175438596,-0.03270939160855341,-0.03139979551021893,-0.06881516028838226,0.0005601674815533484,8
8,1425,20,0.014035087719298246,0.031715603454938374,0.031066671457081235,0.0005601674815533484,0.06730146192512204,9
9,1424,29,0.020365168539325844,0.09805659181302996,0.09677599318152585,0.06730146192512204,0.1313851800223406,10
10,1425,36,0.02526315789473684,0.16977328185139895,0.16820282915024326,0.1313851800223406,0.2091887756893929,11
11,1425,52,0.036491228070175435,0.2518986988588902,0.25052331291063723,0.2091887756893929,0.2914024752877159,12
12,1424,46,0.032303370786516857,0.3472077852894493,0.3496242316599713,0.2914024752877159,0.3953410479377144,13
13,1425,54,0.037894736842105266,0.46032562185843295,0.46250742558754343,0.3956008565581842,0.5277603118809677,14
14,1425,126,0.08842105263157894,0.6311141155167154,0.6254738410772536,0.5277603118809677,0.7603156007519948,15
15,1424,179,0.12570224719101122,0.9927891250835823,0.9482391054679157,0.7603156007519948,1.2699667157476642,16
