vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1425,4,0.002807017543859649,-0.491215932205835,-0.46182710250277154,-0.6672428951883281,-0.3420798341970606,1
1,1425,5,0.0035087719298245615,-0.2634858920588574,-0.26050189101705984,-0.3420798341970606,-0.20533282474053635,2
2,1425,4,0.002807017543859649,-0.16632808180369457,-0.16561140040044453,-0.20533282474053635,-0.1276700651212886,3
3,1424,10,0.007022471910112359,-0.09818543037232444,-0.09723019435634914,-0.1276700651212886,-0.06700594290343194,4
4,1425,6,0.004210526315789474,-0.04091875026705042,-0.0405091154709572,-0.06700594290343194,-0.015503086629211025,5
5,1425,7,0.004912280701754386,0.005589566774291792,0.004444505138752314,-0.015503086629211025,0.030180270823723862,6
6,1424,21,0.014747191011235955,0.05375089621836625,0.05611098521597084,0.030180270823723862,0.0741106870954868,7
7,1425,21,0.014736842105263158,0.09699447258450487,0.09704422872666414,0.07451709376180525,0.11858197439784872,8
8,1425,18,0.01263157894736842,0.13786655809707402,0.13797385476217588,0.11858197439784872,0.1564644310745511,9
9,1424,30,0.021067415730337078,0.17920746222281245,0.1795685853822543,0.1564644310745511,0.20116045751222553,10
10,1425,32,0.02245614035087719,0.22253612389893554,0.22231756589391274,0.20116045751222553,0.24567486698321575,11
11,1425,53,0.037192982456140354,0.27327513827920646,0.2743398868651635,0.24567486698321575,0.2993709859016675,12
12,1424,41,0.028792134831460675,0.33269404486838544,0.3332684454683462,0.2993709859016675,0.3639061675049992,13
13,1425,58,0.04070175438596491,0.40236931223338757,0.4002465221241926,0.3639157313720068,0.4442430955030032,14
14,1425,113,0.07929824561403509,0.509286245007771,0.5063817298909902,0.4442430955030032,0.588544313785952,15
15,1424,186,0.1306179775280899,0.7522207065943248,0.7189122096560316,0.5893181384724631,0.9447283646555604,16
