vent,n,draft_rate,poolq_mean,poolq_median
0,1238,0.0032310177705977385,-0.4509423202246097,-0.4197494280880777
1,1238,0.0024232633279483036,-0.23697411204424598,-0.23278652863471583
2,1238,0.004846526655896607,-0.1463455346096992,-0.14371283960298942
3,1237,0.0064672594987873885,-0.08226991552885976,-0.08437491746706804
4,1238,0.005654281098546042,-0.027719099930169987,-0.027075579078964778
5,1238,0.007269789983844911,0.015540202889183764,0.01538144044251812
6,1237,0.012126111560226353,0.061452677025475015,0.06150194640763454
7,1238,0.014539579967689823,0.10347783448877411,0.10356175844015338
8,1238,0.012116316639741519,0.14129196801781388,0.1418799502727842
9,1237,0.021827000808407437,0.1815037100974359,0.18141594408446718
10,1238,0.0210016155088853,0.22270018897442057,0.22255460079995046
11,1238,0.035541195476575124,0.27153797554051573,0.2733436316620971
12,1237,0.021827000808407437,0.326805991938033,0.3264124821126332
13,1238,0.04361873990306947,0.3940521129089013,0.3922253716151573
14,1238,0.08319870759289176,0.49431056461103573,0.4878229049993726
15,1237,0.1196443007275667,0.7195023494020486,0.6962998633253138
