vent,n,draft_rate,poolq_mean,poolq_median
0,2895,0.002072538860103627,-0.19809759186835704,-0.18369529506812945
1,2894,0.0034554250172771253,-0.0933269610852166,-0.09002716837565491
2,2894,0.0055286800276434,-0.04339794097140535,-0.041396979496248015
3,2894,0.006219765031098825,-0.006870293527069262,-0.00642149062638353
4,2894,0.007601935038009675,0.02547313700229291,0.02678804090865286
5,2894,0.011402902557014512,0.05500731504476837,0.055816764501381434
6,2894,0.005183137525915688,0.07991972547542145,0.08061564058971063
7,2894,0.008984105044920525,0.10543194400487974,0.10543423439891407
8,2895,0.007944732297063902,0.13088633623817678,0.13087021540707386
9,2894,0.012785072563925363,0.1533267647465811,0.15286335404920987
10,2894,0.01243953006219765,0.17744747872607067,0.17718775800338082
11,2894,0.010711817553559088,0.2049375521216537,0.20439623129348197
12,2894,0.015549412577747062,0.23446186052908052,0.23512849699350938
13,2894,0.022460262612301312,0.274029227934512,0.2740239307162512
14,2894,0.019695922598479614,0.32867494325960905,0.32762376382266833
15,2894,0.025570145127850726,0.4232652997490012,0.4114569529665289
