vent,n,draft_rate,poolq_mean,poolq_median
0,492,0.01016260162601626,-0.8389973693412279,-0.8056060835407475
1,491,0.016293279022403257,-0.5261330182639516,-0.5247413320587102
2,492,0.026422764227642278,-0.36816253349477135,-0.36438916223220286
3,491,0.016293279022403257,-0.25281216731723716,-0.25431727090269296
4,492,0.028455284552845527,-0.16446513784310682,-0.1648691638911647
5,491,0.034623217922606926,-0.09586370060530673,-0.09507741571198335
6,492,0.026422764227642278,-0.03350938480559692,-0.03118590739225373
7,491,0.034623217922606926,0.02805822104116407,0.030068023290604026
8,492,0.054878048780487805,0.09213774781834767,0.0933335771864296
9,491,0.06924643584521385,0.16145413615399287,0.16185301073201566
10,492,0.08333333333333333,0.2301091549125447,0.22952247677694493
11,491,0.07942973523421588,0.30135399594662104,0.29598050433828504
12,492,0.07317073170731707,0.39920701831062677,0.39446044225617405
13,491,0.1120162932790224,0.5111369733820723,0.509136516430898
14,492,0.16260162601626016,0.6626137750305326,0.6553160902340383
15,491,0.23014256619144602,1.0006340365895734,0.9882701140604008
