vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,2730,3,0.001098901098901099,-0.23336173825341489,-0.22643773987155105,-0.3026789406898132,-0.16493064535976762,1
1,2729,8,0.0029314767314034445,-0.12838672803742446,-0.12808651261895823,-0.16385630688703648,-0.09773068145186888,2
2,2729,9,0.003297911322828875,-0.07840555675827843,-0.07825951335718861,-0.09773068145186888,-0.060641596964832574,3
3,2729,19,0.006962257237083181,-0.04298471435454814,-0.041410243334771814,-0.060641596964832574,-0.028868697743773267,4
4,2729,16,0.005862953462806889,-0.014464660335593318,-0.014077165532939443,-0.028868697743773267,-0.0005178781885489208,5
5,2729,12,0.004397215097105167,0.011662380276569894,0.012395412358512119,-0.0005178781885489208,0.023788251724362486,6
6,2729,26,0.009527299377061194,0.03556371976299595,0.03427071105506664,0.023788251724362486,0.04724450615386444,7
7,2729,34,0.01245877610846464,0.059200996214303046,0.06006289623342361,0.04724450615386444,0.06924381531714521,8
8,2729,11,0.004030780505679736,0.07956132600591408,0.08012226752138257,0.06924381531714521,0.08963176829562465,9
9,2729,21,0.007695126419934042,0.10066539928706832,0.10005426490804503,0.08963176829562465,0.11096405766207966,10
10,2730,27,0.00989010989010989,0.12188704629926377,0.12203986115278322,0.11099386082461131,0.13284394396443905,11
11,2729,20,0.007328691828508612,0.14198502799024312,0.1418799502727842,0.13284394396443905,0.1516197452883411,12
12,2729,31,0.011359472334188348,0.1608442021931857,0.16029753021889312,0.1516197452883411,0.17101415717255575,13
13,2729,35,0.01282521069989007,0.18171382307679593,0.18115468715576413,0.17101415717255575,0.193554097376612,14
14,2729,35,0.01282521069989007,0.20539266253351893,0.20459151545232684,0.193554097376612,0.2179866370430427,15
15,2729,36,0.0131916452913155,0.23092555585302893,0.2306048108137371,0.2179866370430427,0.2453631216700365,16
16,2729,66,0.024184683034078416,0.2606654254709491,0.26155352462519393,0.2453631216700365,0.2793939225396219,17
17,2729,49,0.017955294979846097,0.30133294230335556,0.3014506258691082,0.2793939225396219,0.32405462429681403,18
18,2729,73,0.02674972517405643,0.3517869431619022,0.34956367539385086,0.32405462429681403,0.3850000138390177,19
19,2729,78,0.028581898131183583,0.4468355200174581,0.43852703535804877,0.3850000138390177,0.5139587360936769,20
