vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1105,22,0.019909502262443438,-0.42588935929862387,-0.4131676222314002,-0.5102635356618057,-0.342078129255742,1
1,1104,47,0.042572463768115944,-0.29890083828098074,-0.29385149772732255,-0.342078129255742,-0.26756040583030066,2
2,1104,50,0.04528985507246377,-0.22817713215407934,-0.22688713046727768,-0.26756040583030066,-0.19912500037914968,3
3,1104,60,0.05434782608695652,-0.17360180820934037,-0.17463768372563954,-0.19912500037914968,-0.147899779855477,4
4,1104,59,0.05344202898550725,-0.1275559657136537,-0.12828354694815985,-0.147899779855477,-0.11014221451706466,5
5,1104,37,0.03351449275362319,-0.09581909064345967,-0.09409202935975937,-0.10999368197460166,-0.08177626845524326,6
6,1105,52,0.047058823529411764,-0.0664391761401593,-0.06760973741810039,-0.08177626845524326,-0.04618544623112709,7
7,1104,60,0.05434782608695652,-0.031791533056618436,-0.032592394860870816,-0.04618544623112709,-0.015855153224544113,8
8,1104,71,0.06431159420289854,0.0030436744235504683,0.004742468933782634,-0.015855153224544113,0.021086023830113727,9
9,1104,57,0.051630434782608696,0.03366299546657555,0.03257996652695584,0.021111503405232084,0.04966805189725001,10
10,1104,70,0.06340579710144928,0.06608352372828703,0.06586762362713043,0.04966805189725001,0.08135600389131627,11
11,1104,59,0.05344202898550725,0.09559407942753072,0.09508775723987901,0.08150178501836113,0.11114462934217985,12
12,1104,68,0.06159420289855073,0.1290258802141289,0.12993752815013193,0.11114462934217985,0.14637735492589765,13
13,1105,72,0.06515837104072399,0.16194897058981986,0.1620329024050702,0.14637735492589765,0.178017227668912,14
14,1104,111,0.10054347826086957,0.2006899560418111,0.19908691643112192,0.178017227668912,0.22366956817360564,15
15,1104,75,0.06793478260869565,0.24287054841814895,0.24233921261797053,0.22366956817360564,0.2627751155657634,16
16,1104,99,0.08967391304347826,0.2902964534088027,0.29278747196449956,0.2627751155657634,0.31991597905470825,17
17,1104,107,0.09692028985507246,0.3477319497894908,0.34523483013171147,0.31991597905470825,0.38291069435258596,18
18,1104,91,0.08242753623188406,0.4262166608194491,0.42935188305366706,0.38291069435258596,0.47878986601773404,19
19,1104,133,0.12047101449275362,0.5621857146140317,0.5551336354752204,0.47878986601773404,0.6343307384060506,20
