slide,bin0_peak,genearally decreasing,lone spike,Early spike,eXponential rise,~monotone incr,robust tail drop,tail drop,loo,poolq,ever,season-Y,all-ps,last-ps,ALLT,DFT,QTL,q16,q20,EWT,ew16,ew20,peak_vent,peak_rate_pct,bin0_rate_pct,beta_sq,output_tag
2,,,,,,X,,X,X,,X,,X,,X,,X,X,,,,,15,3.518,1.934,0.01099,perm_loo_ever_allps_q16
3,,,,,,X,,,X,,X,,X,,X,,,,X,X,,,20,3.628,1.758,0.01099,perm_loo_ever_allps_q20
4,,,,,,X,,,X,,X,,X,,X,,,,,X,X,,16,3.792,1.207,0.01099,perm_loo_ever_allps_ew16
5,,,,,,X,,,X,,X,,X,,X,,X,,,,,X,20,3.941,1.27,0.01099,perm_loo_ever_allps_ew20
6,X,X,,,,,X,X,X,,X,,X,,,X,X,X,,,,,1,7.531,7.531,0.0326,perm_loo_ever_allps_q16_dft
7,X,X,,,,,,,X,,X,,X,,,X,,,X,X,,,1,7.783,7.783,0.0326,perm_loo_ever_allps_q20_dft
8,,X,,X,,,X,X,X,,X,,X,,,X,,,,X,X,,3,8.935,5.263,0.0326,perm_loo_ever_allps_ew16_dft
9,,X,,X,,,,,X,,X,,X,,,X,X,,,,,X,4,8.765,5.43,0.0326,perm_loo_ever_allps_ew20_dft
10,,,,,,,,,X,,X,,,X,X,,X,X,,,,,13,3.511,1.965,0.00172,perm_loo_ever_lastps_q16
11,,,,,,X,,X,X,,X,,,X,X,,,,X,X,,,19,3.509,1.93,0.00172,perm_loo_ever_lastps_q20
12,,,,,,,X,X,X,,X,,,X,X,,,,,X,X,,14,4.044,1.373,0.00172,perm_loo_ever_lastps_ew16
13,,,,,,,X,X,X,,X,,,X,X,,X,,,,,X,17,4.371,1.556,0.00172,perm_loo_ever_lastps_ew20
14,,X,,X,,,,X,X,,X,,,X,,X,X,X,,,,,4,8.615,8.6,0.03159,perm_loo_ever_lastps_q16_dft
15,X,X,,X,,,,X,X,,X,,,X,,X,,,X,X,,,1,9.474,9.474,0.03159,perm_loo_ever_lastps_q20_dft
16,,X,,X,,,X,X,X,,X,,,X,,X,,,,X,X,,3,11.36,5.6,0.03159,perm_loo_ever_lastps_ew16_dft
17,,X,,X,,,X,X,X,,X,,,X,,X,X,,,,,X,3,11.9,6.14,0.03159,perm_loo_ever_lastps_ew20_dft
18,,,,,,,X,X,X,,,X,X,,X,,X,X,,,,,13,1.437,1.084,0.003949,perm_loo_seasony_allps_q16
19,,,,,,,,,X,,,X,X,,X,,,,X,X,,,19,1.502,1.099,0.003949,perm_loo_seasony_allps_q20
20,,X,X,X,,,X,X,X,,,X,X,,X,,,,,X,X,,2,1.896,1.322,0.003949,perm_loo_seasony_allps_ew16
21,,X,X,X,,,X,X,X,,,X,X,,X,,X,,,,,X,2,2.344,1.648,0.003949,perm_loo_seasony_allps_ew20
22,X,X,,,,,X,X,X,,,X,X,,,X,X,X,,,,,1,3.837,3.837,0.01565,perm_loo_seasony_allps_q16_dft
23,,X,,,,,,,X,,,X,X,,,X,,,X,X,,,2,4.415,3.547,0.01565,perm_loo_seasony_allps_q20_dft
24,,X,,X,,,X,X,X,,,X,X,,,X,,,,X,X,,2,5.755,3.191,0.01565,perm_loo_seasony_allps_ew16_dft
25,,X,X,X,,,X,X,X,,,X,X,,,X,X,,,,,X,2,7.059,3.75,0.01565,perm_loo_seasony_allps_ew20_dft
26,,,,,,,,,X,,,X,,X,X,,X,X,,,,,13,3.301,2.596,0.009437,perm_loo_seasony_lastps_q16
27,,,,,,,,,X,,,X,,X,X,,,,X,X,,,19,3.421,2.719,0.009437,perm_loo_seasony_lastps_q20
28,,X,X,X,,,X,X,X,,,X,,X,X,,,,,X,X,,2,4.969,3.659,0.009437,perm_loo_seasony_lastps_ew16
29,,X,X,X,,,X,X,X,,,X,,X,X,,X,,,,,X,2,6.061,4.615,0.009437,perm_loo_seasony_lastps_ew20
30,X,X,,,,,X,X,X,,,X,,X,,X,X,X,,,,,1,9.609,9.609,0.061,perm_loo_seasony_lastps_q16_dft
31,X,X,,X,,,,,X,,,X,,X,,X,,,X,X,,,1,9.354,9.354,0.061,perm_loo_seasony_lastps_q20_dft
32,,X,X,X,,,X,X,X,,,X,,X,,X,,,,X,X,,2,18.61,8.824,0.061,perm_loo_seasony_lastps_ew16_dft
33,,X,X,X,,,X,X,X,,,X,,X,,X,X,,,,,X,2,18.75,11.11,0.061,perm_loo_seasony_lastps_ew20_dft
34,,,,,,X,,,,X,X,,X,,X,,X,X,,,,,16,5.775,0.352,0.03777,perm_poolq_ever_allps_q16
35,,,,,,X,,,,X,X,,X,,X,,,,X,X,,,20,5.716,0.22,0.03777,perm_poolq_ever_allps_q20
36,,,,,,X,,,,X,X,,X,,X,,,,,X,X,,16,7.241,0.151,0.03777,perm_poolq_ever_allps_ew16
37,,,,,,X,,,,X,X,,X,,X,,X,,,,,X,20,7.105,0.19,0.03777,perm_poolq_ever_allps_ew20
38,,,,,,X,,,,X,X,,X,,,X,X,X,,,,,16,11.01,2.245,0.03176,perm_poolq_ever_allps_q16_dft
39,,,,,,X,,,,X,X,,X,,,X,,,X,X,,,20,12.05,1.991,0.03176,perm_poolq_ever_allps_q20_dft
40,,,,,,X,,,,X,X,,X,,,X,,,,X,X,,16,13.1,0.87,0.03176,perm_poolq_ever_allps_ew16_dft
41,,,,,,X,,,,X,X,,X,,,X,X,,,,,X,20,14.25,0.98,0.03176,perm_poolq_ever_allps_ew20_dft
42,,,,,X,X,,,,X,X,,,X,X,,X,X,,,,,16,12.57,0.281,0.05536,perm_poolq_ever_lastps_q16
43,,,,,X,X,,,,X,X,,,X,X,,,,X,X,,,20,14.31,0.263,0.05536,perm_poolq_ever_lastps_q20
44,,,,,X,X,,,,X,X,,,X,X,,,,,X,X,,16,17.62,0.217,0.05536,perm_poolq_ever_lastps_ew16
45,,,,,X,X,,,,X,X,,,X,X,,X,,,,,X,19,19.15,0.253,0.05536,perm_poolq_ever_lastps_ew20
46,,,,,X,X,,,,X,X,,,X,,X,X,X,,,,,16,23.14,0.843,0.07475,perm_poolq_ever_lastps_q16_dft
47,,,,,X,X,,,,X,X,,,X,,X,,,X,X,,,20,24.26,1.053,0.07475,perm_poolq_ever_lastps_q20_dft
48,,,,,X,X,,,,X,X,,,X,,X,,,,X,X,,15,27.67,0.588,0.07475,perm_poolq_ever_lastps_ew16_dft
49,,,,,X,X,,,,X,X,,,X,,X,X,,,,,X,19,33.65,0.621,0.07475,perm_poolq_ever_lastps_ew20_dft
50,,,,,,X,,,,X,,X,X,,X,,X,X,,,,,16,3.02,0.147,0.06174,perm_poolq_seasony_allps_q16
51,,,,,,X,,,,X,,X,X,,X,,,,X,X,,,20,2.858,0.11,0.06174,perm_poolq_seasony_allps_q20
52,,,,,X,X,,,,X,,X,X,,X,,,,,X,X,,16,3.971,0,0.06174,perm_poolq_seasony_allps_ew16
53,,,,,X,X,,,,X,,X,X,,X,,X,,,,,X,20,3.664,0,0.06174,perm_poolq_seasony_allps_ew20
54,,,,,,X,,,,X,,X,X,,,X,X,X,,,,,16,5.684,0.998,0.07317,perm_poolq_seasony_allps_q16_dft
55,,,,,,X,,,,X,,X,X,,,X,,,X,X,,,20,5.854,1.055,0.07317,perm_poolq_seasony_allps_q20_dft
56,,,,,,X,,,,X,,X,X,,,X,,,,X,X,,15,6.971,0.546,0.07317,perm_poolq_seasony_allps_ew16_dft
57,,,,,,X,,,,X,,X,X,,,X,X,,,,,X,19,7.143,0.602,0.07317,perm_poolq_seasony_allps_ew20_dft
58,,,,,X,X,,,,X,,X,,X,X,,X,X,,,,,16,13.06,0.281,0.1254,perm_poolq_seasony_lastps_q16
59,,,,,X,X,,,,X,,X,,X,X,,,,X,X,,,20,13.96,0.351,0.1254,perm_poolq_seasony_lastps_q20
60,,,,,X,X,,,,X,,X,,X,X,,,,,X,X,,15,17.44,0.239,0.1254,perm_poolq_seasony_lastps_ew16
61,,,,,X,X,,,,X,,X,,X,X,,X,,,,,X,20,17.56,0.268,0.1254,perm_poolq_seasony_lastps_ew20
62,,,,,X,X,,,,X,,X,,X,,X,X,X,,,,,16,22.46,0.89,0.1558,perm_poolq_seasony_lastps_q16_dft
