vent,bin_display,n,drafts,draft_rate,argms_min,argms_max,x_interval,x_median,x_mean
0,1,3412,5,0.00146542,0.5,1.46429,"[0.5, 1.464]",0.947368,0.979198
1,2,3411,8,0.00234535,1.46429,2.93939,"[1.464, 2.939]",2.12903,2.15174
2,3,3412,16,0.00468933,2.93939,4.9,"[2.939, 4.9]",3.84848,3.87382
3,4,3411,11,0.00322486,4.9,7.13514,"[4.9, 7.135]",6.03448,6.0306
4,5,3411,29,0.00850191,7.13793,9.45455,"[7.138, 9.455]",8.28125,8.27338
5,6,3412,23,0.00674091,9.45455,11.8857,"[9.455, 11.89]",10.6562,10.6607
6,7,3411,38,0.0111404,11.8857,14.3871,"[11.89, 14.39]",13.0882,13.1127
7,8,3411,40,0.0117268,14.3871,16.7647,"[14.39, 16.76]",15.5333,15.5487
8,9,3412,57,0.0167057,16.7647,19.1818,"[16.76, 19.18]",17.9429,17.9648
9,10,3411,81,0.0237467,19.1818,21.5,"[19.18, 21.5]",20.3871,20.3565
10,11,3412,75,0.0219812,21.5,23.7742,"[21.5, 23.77]",22.625,22.6341
11,12,3411,105,0.0307828,23.7742,25.9118,"[23.77, 25.91]",24.8438,24.8485
12,13,3411,136,0.039871,25.9118,28.1111,"[25.91, 28.11]",27.0303,27.0241
13,14,3412,186,0.0545135,28.1143,30.25,"[28.11, 30.25]",29.1667,29.1653
14,15,3411,265,0.0776898,30.25,32.5862,"[30.25, 32.59]",31.3548,31.3747
15,16,3411,325,0.09528,32.5862,40,"[32.59, 40]",34.2,34.4744
