row_type,draft_mass_pct,z_cut,n_drafted_at_or_below,n_drafted_total,tier_pct,panel_top_pct,band,top_lo,top_hi,z_cut_outer,z_cut_inner,band_n,band_drafts,draft_share_of_total_pct,band_draft_rate
draft_mass,5,0.258828,31,615,,,,,,,,,,,
draft_mass,10,0.528957,62,615,,,,,,,,,,,
draft_mass,15,0.709883,93,615,,,,,,,,,,,
draft_mass,20,0.816385,123,615,,,,,,,,,,,
draft_mass,25,0.954079,154,615,,,,,,,,,,,
draft_mass,30,1.08517,185,615,,,,,,,,,,,
draft_mass,35,1.19061,215,615,,,,,,,,,,,
draft_mass,40,1.26258,246,615,,,,,,,,,,,
draft_mass,45,1.35983,277,615,,,,,,,,,,,
draft_mass,50,1.44708,308,615,,,,,,,,,,,
draft_mass,55,1.535,338,615,,,,,,,,,,,
draft_mass,60,1.64635,369,615,,,,,,,,,,,
draft_mass,65,1.78784,400,615,,,,,,,,,,,
draft_mass,70,1.89302,430,615,,,,,,,,,,,
draft_mass,75,2.04575,461,615,,,,,,,,,,,
draft_mass,80,2.18386,492,615,,,,,,,,,,,
draft_mass,85,2.36405,522,615,,,,,,,,,,,
draft_mass,90,2.53126,553,615,,,,,,,,,,,
draft_mass,95,2.87328,584,615,,,,,,,,,,,
draft_mass_tier,70,1.89302,430,615,30,4.55802,,,,,,,,,
draft_mass_tier,40,1.26258,246,615,30,12.9897,,,,,,,,,
draft_mass_tier,10,0.528957,62,615,30,31.0375,,,,,,,,,
overlay_band,,,,,,,top 4.55802%,0,4.55802,1.89224,,1039,185,30.0813,0.178056
overlay_band,,,,,,,top 4.55802–12.9897%,4.55802,12.9897,1.26235,1.89224,1922,184,29.9187,0.0957336
overlay_band,,,,,,,top 12.9897–31.0375%,12.9897,31.0375,0.528807,1.26235,4114,184,29.9187,0.0447253
