vent,n,draft_rate,perf_mean,perf_median
0,1981,0.0,-1.764473392378574,-1.671331237665656
1,1980,0.0,-1.1223440960764575,-1.113283862241371
2,1980,0.0,-0.7589005778217549,-0.7590894601368059
3,1981,0.0005047955577990914,-0.45204911777745377,-0.4528695712537133
4,1980,0.0035353535353535356,-0.17003002058992522,-0.17144726900252544
5,1980,0.009595959595959595,0.10986608847545604,0.10695443314565373
6,1981,0.0176678445229682,0.4021829121947312,0.4021201751506046
7,1980,0.03585858585858586,0.7353153411103465,0.7332889872415936
8,1980,0.06515151515151515,1.1594679183889336,1.1549719324644716
9,1980,0.1303030303030303,1.9770126736501994,1.8357444481155007
