vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,542,6,0.01107011070110701,-0.5699667330332837,-0.5755295121513553,-0.6162256056677414,-0.4914846758729696,1,-0.6162256056677414,-0.49119202503038206,-0.5537088153490617,"[-0.6162, -0.4912)"
1,913,27,0.029572836801752465,-0.41997226342214494,-0.4140536109604081,-0.4910806258429696,-0.3662045668762193,2,-0.49119202503038206,-0.36615844439302264,-0.4286752347117023,"[-0.4912, -0.3662)"
2,1743,39,0.022375215146299483,-0.2997201482513324,-0.2980839496471787,-0.36612582981010616,-0.24113879483536035,3,-0.36615844439302264,-0.24112486375566322,-0.30364165407434296,"[-0.3662, -0.2411)"
3,2606,66,0.02532617037605526,-0.17579403607048047,-0.17340318651265704,-0.24073750526042553,-0.11611227964797978,4,-0.24112486375566322,-0.11609128311830386,-0.17860807343698354,"[-0.2411, -0.1161)"
4,3083,75,0.02432695426532598,-0.052356986004035724,-0.05235114022560272,-0.11607746820597767,0.008906847512522667,5,-0.11609128311830386,0.008942297519055509,-0.053574492799624174,"[-0.1161, 0.008942)"
5,2992,72,0.02406417112299465,0.06909407608788287,0.06939380383369032,0.00900081992276366,0.13387361147200272,6,0.008942297519055509,0.13397587815641498,0.07145908783773525,"[0.008942, 0.134)"
6,2199,63,0.0286493860845839,0.19152040790242822,0.18977750891794679,0.1340336585445541,0.25879305876100805,7,0.13397587815641498,0.25900945879377435,0.19649266847509467,"[0.134, 0.259)"
7,1452,42,0.028925619834710745,0.31524724209541566,0.31178064524829663,0.25903704661572874,0.3839323732540297,8,0.25900945879377435,0.3840430394311337,0.32152624911245403,"[0.259, 0.384)"
8,769,22,0.02860858257477243,0.4412864979740124,0.44074982554980746,0.3840629142761858,0.5088128627860221,9,0.3840430394311337,0.5090766200684932,0.44655982974981345,"[0.384, 0.5091)"
9,537,12,0.0223463687150838,0.5844126448300718,0.5845994838815705,0.5092180963501772,0.6341102007058526,10,0.5090766200684932,0.6341102007058526,0.5715934103871729,"[0.5091, 0.6341)"
