gamma,lambda,peak_bin,peak_rate,rho_fixed,theta
5.0,0.0,16,0.3942857142857143,8.0,0.72
5.0,0.25,16,0.31142857142857144,8.0,0.72
5.0,0.55,16,0.19714285714285715,8.0,0.72
5.0,0.75,14,0.15142857142857144,8.0,0.72
5.0,1.0,8,0.15142857142857144,8.0,0.72
10.0,0.0,16,0.41714285714285715,8.0,0.72
10.0,0.25,16,0.2742857142857143,8.0,0.72
10.0,0.55,12,0.17142857142857143,8.0,0.72
10.0,0.75,9,0.16857142857142857,8.0,0.72
10.0,1.0,7,0.18,8.0,0.72
20.0,0.0,16,0.42,8.0,0.72
20.0,0.25,14,0.21714285714285714,8.0,0.72
20.0,0.55,10,0.19142857142857142,8.0,0.72
20.0,0.75,10,0.2057142857142857,8.0,0.72
20.0,1.0,10,0.19428571428571428,8.0,0.72
