bin,n,selection_rate,mean_team_mean,arm,lambda
0,938,0.0,0.09834167363124136,lambda_025,0.25
1,937,0.0,0.18659010361340364,lambda_025,0.25
2,938,0.0,0.24743220005980202,lambda_025,0.25
3,937,0.0,0.3004561573504077,lambda_025,0.25
4,938,0.0,0.34891217329222574,lambda_025,0.25
5,937,0.0,0.3941890576830838,lambda_025,0.25
6,938,0.0,0.4360669381780979,lambda_025,0.25
7,937,0.0,0.47833420819577016,lambda_025,0.25
8,938,0.0,0.5184448013353714,lambda_025,0.25
9,937,0.0,0.5603787591262974,lambda_025,0.25
10,938,0.0,0.6032104961400284,lambda_025,0.25
11,937,0.0,0.6493317369435383,lambda_025,0.25
12,938,0.0,0.6983678474199757,lambda_025,0.25
13,937,0.0,0.7517642579604742,lambda_025,0.25
14,938,0.6002132196162047,0.8131618972365953,lambda_025,0.25
15,937,1.0,0.9024189454246134,lambda_025,0.25
