bin,n,selection_rate,mean_team_mean,arm,lambda
0,38,0.0,0.10516333252636645,lambda_055,0.55
1,37,0.0,0.18421584978937272,lambda_055,0.55
2,38,0.0,0.25478227791066965,lambda_055,0.55
3,37,0.0,0.30044857652633716,lambda_055,0.55
4,38,0.0,0.34705540876000623,lambda_055,0.55
5,37,0.0,0.4013374461886213,lambda_055,0.55
6,38,0.0,0.4411630465289908,lambda_055,0.55
7,37,0.0,0.48168563953024696,lambda_055,0.55
8,38,0.02631578947368421,0.5217221827073784,lambda_055,0.55
9,37,0.35135135135135137,0.5623760024311962,lambda_055,0.55
10,38,0.7368421052631579,0.6079884288942133,lambda_055,0.55
11,37,0.40540540540540543,0.6530895824076199,lambda_055,0.55
12,38,0.0,0.7132655295311243,lambda_055,0.55
13,37,0.0,0.7703504830231692,lambda_055,0.55
14,38,0.0,0.8356790104894095,lambda_055,0.55
15,37,0.08108108108108109,0.9087036150929754,lambda_055,0.55
