bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.10350476732013768,above_far,0.42
1,350,0.0,0.19122097523498524,above_far,0.42
2,350,0.0,0.25175086321086954,above_far,0.42
3,350,0.0,0.30433583190842883,above_far,0.42
4,350,0.0,0.3512663391989104,above_far,0.42
5,350,0.0,0.3944974864739718,above_far,0.42
6,350,0.0,0.43537287468646946,above_far,0.42
7,350,0.0,0.47641985633320305,above_far,0.42
8,350,0.0,0.5170767458639451,above_far,0.42
9,350,0.0,0.5595892402951274,above_far,0.42
10,350,0.0,0.6025098518882964,above_far,0.42
11,350,0.07142857142857142,0.6476065531867018,above_far,0.42
12,350,0.05142857142857143,0.6983606605255779,above_far,0.42
13,350,0.0,0.7512155960808571,above_far,0.42
14,350,0.47714285714285715,0.8132687224912052,above_far,0.42
15,350,1.0,0.9023510768891361,above_far,0.42
