bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.10350476732013768,above_farther,0.46
1,350,0.0,0.19122097523498524,above_farther,0.46
2,350,0.0,0.25175086321086954,above_farther,0.46
3,350,0.0,0.30433583190842883,above_farther,0.46
4,350,0.0,0.3512663391989104,above_farther,0.46
5,350,0.0,0.3944974864739718,above_farther,0.46
6,350,0.0,0.43537287468646946,above_farther,0.46
7,350,0.0,0.47641985633320305,above_farther,0.46
8,350,0.0,0.5170767458639451,above_farther,0.46
9,350,0.0,0.5595892402951274,above_farther,0.46
10,350,0.10285714285714286,0.6025098518882964,above_farther,0.46
11,350,0.7885714285714286,0.6476065531867018,above_farther,0.46
12,350,0.025714285714285714,0.6983606605255779,above_farther,0.46
13,350,0.0,0.7512155960808571,above_farther,0.46
14,350,0.0,0.8132687224912052,above_farther,0.46
15,350,0.6828571428571428,0.9023510768891361,above_farther,0.46
