vent,n,draft_rate,ai_x_loo_mean,ai_x_loo_median,perf_mean,poolq_loo_mean
0,2280,0.04912280701754386,-0.5812101280622061,-0.5093238771050268,0.38279574890448853,-0.05710543342972796
1,2279,0.029398859148749453,-0.24410932834632754,-0.23986417107408453,0.05031485787741854,0.007440131220170595
2,2280,0.021052631578947368,-0.1268449932403314,-0.12435222865183726,0.016000378161141998,0.005398106564295359
3,2279,0.014480035103115402,-0.05866817602427665,-0.05726636307127602,-0.01877793874987682,0.008011430335705057
4,2280,0.010526315789473684,-0.017363144034442016,-0.016658645944844466,-0.014635054973708104,0.002985393721866602
5,2279,0.010092145677928916,0.006349146521260153,0.005253906309325225,-0.01415797250798026,0.0011130271067761673
6,2280,0.017543859649122806,0.038287585129208435,0.037459369794385036,-0.07371446088083122,-0.004510481702109993
7,2279,0.02150065818341378,0.09414275402138857,0.09362035080201352,-0.06599476277724209,-0.012390604466301282
8,2280,0.03508771929824561,0.19568664825426516,0.18998702784564436,-0.08810698952352856,-0.01252641397940616
9,2279,0.060991663010092144,0.512524730507505,0.4340578496271491,-0.059684813147634616,-0.019389293699912602
