vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,poolq_loo_mean,poolq_loo_median,bin_region,high_tj_tail,thin_cell
0,1,106,26,0.245283,0.173236,0.335147,-0.604165,-0.473033,"[-0.6042, -0.473)",-0.554142,-0.558576,coarse,False,False
1,2,118,28,0.237288,0.169579,0.321564,-0.473033,-0.341901,"[-0.473, -0.3419)",-0.395492,-0.389884,coarse,False,False
2,3,173,41,0.236994,0.179772,0.305643,-0.341901,-0.210769,"[-0.3419, -0.2108)",-0.273128,-0.269836,coarse,False,False
3,4,222,66,0.297297,0.241033,0.360457,-0.210769,-0.0796365,"[-0.2108, -0.07964)",-0.14088,-0.135086,coarse,False,False
4,5,174,52,0.298851,0.235778,0.370614,-0.0796365,0.018711,"[-0.07964, 0.01871)",-0.0336402,-0.0364008,fine_tail,True,False
5,6,129,38,0.294574,0.222767,0.378261,0.018711,0.117058,"[0.01871, 0.1171)",0.069964,0.0711153,fine_tail,True,False
6,7,117,36,0.307692,0.231287,0.396324,0.117058,0.215406,"[0.1171, 0.2154)",0.163483,0.157386,fine_tail,True,False
7,8,88,26,0.295455,0.210307,0.397714,0.215406,0.313753,"[0.2154, 0.3138)",0.267526,0.263478,fine_tail,True,False
8,9,59,10,0.169492,0.0947574,0.284635,0.313753,0.412101,"[0.3138, 0.4121)",0.354153,0.341205,fine_tail,True,False
9,10,42,6,0.142857,0.0671588,0.278414,0.412101,0.510448,"[0.4121, 0.5104)",0.449519,0.445653,fine_tail,True,False
10,11,9,1,0.111111,0.0198904,0.435006,0.510448,0.608796,"[0.5104, 0.6088)",0.56044,0.570629,fine_tail,True,True
