vent,n,draft_rate,perf_mean,perf_median
0,368,0.0,-1.1556032320847822,-1.0948879817220616
1,368,0.0,-0.7769121490109313,-0.7763880582947
2,368,0.0,-0.6008493808202635,-0.602630586235011
3,368,0.0,-0.4709224872069559,-0.469856331899677
4,368,0.0,-0.3580115762680642,-0.35906021535561206
5,368,0.002717391304347826,-0.2521154947196363,-0.25186398746193783
6,368,0.002717391304347826,-0.15545838336199894,-0.15649377168358192
7,368,0.002717391304347826,-0.06996170193411032,-0.07221206368840372
8,368,0.008152173913043478,0.019605408778233083,0.020051345600530686
9,368,0.010869565217391304,0.1081540016286702,0.10723538544593128
10,368,0.029891304347826088,0.1937260368224135,0.19155537807841605
11,368,0.03804347826086957,0.28318655607086585,0.2830648414336646
12,368,0.04891304347826087,0.3730842188322926,0.3742666424871769
13,368,0.059782608695652176,0.465812604538632,0.46655830392070796
14,368,0.10869565217391304,0.5627230869903026,0.5613564586826814
15,368,0.10054347826086957,0.6800808929632579,0.6794364042962269
16,368,0.14402173913043478,0.8103954574950419,0.8092625266856704
17,368,0.20652173913043478,0.9568053341746918,0.9510767306639372
18,368,0.2391304347826087,1.1552579144586883,1.1516443191954835
19,367,0.39509536784741145,1.6217981523549623,1.5212351664632708
