vent,n,draft_rate,perf_mean,perf_median
0,616,0.0,-1.0301757563323943,-0.9658455499843785
1,616,0.0,-0.6806991722163228,-0.6711652816342615
2,616,0.0,-0.5187381996039686,-0.517090260733915
3,616,0.0,-0.4008982917164508,-0.400448547540295
4,616,0.0,-0.2982274044525043,-0.29586327587114664
5,616,0.0,-0.21009779729202216,-0.21163942238109212
6,616,0.0,-0.12732752934639424,-0.12667011632621564
7,616,0.0016233766233766235,-0.04809580454216736,-0.04950176935390245
8,616,0.003246753246753247,0.03098260752691126,0.030025955207047775
9,615,0.0032520325203252032,0.10493152006405332,0.10352179597626204
10,616,0.00974025974025974,0.18210424936211833,0.18183221712032888
11,616,0.01461038961038961,0.2570419893723124,0.2580128180170064
12,616,0.022727272727272728,0.33589676279721475,0.3362850020805389
13,616,0.022727272727272728,0.41870978213096594,0.4180491168935482
14,616,0.04220779220779221,0.507725567017865,0.5076818948904869
15,616,0.05844155844155844,0.6090859603556815,0.6100320276090098
16,616,0.056818181818181816,0.7238717391598154,0.7217234176547743
17,616,0.09090909090909091,0.8641240786134572,0.8639107889757955
18,616,0.1331168831168831,1.0512533551737941,1.0436840530477074
19,615,0.21951219512195122,1.4775270343921385,1.3908196534233879
