vent,n,draft_rate,perf_mean,perf_median
0,1238,0.0,-1.112047580798794,-1.0546409506379835
1,1238,0.0,-0.7381892623777166,-0.7333098084502994
2,1238,0.0,-0.5503436052212707,-0.5491917369634118
3,1237,0.0,-0.4041908389411313,-0.40343413483519014
4,1238,0.0008077544426494346,-0.2780313792031834,-0.2788815490875897
5,1238,0.0008077544426494346,-0.16300591648519086,-0.16259380495140652
6,1237,0.0016168148746968471,-0.057498425348635814,-0.059769035326824316
7,1238,0.0024232633279483036,0.04914323332427942,0.04919316425276099
8,1238,0.007269789983844911,0.15413876916468303,0.15292432282148322
9,1237,0.012934518997574777,0.26430650373852943,0.2644364343200874
10,1238,0.01938610662358643,0.3752778263648499,0.3753749821815212
11,1238,0.02665589660743134,0.4999248712663181,0.5002131646653466
12,1237,0.039611964430072755,0.6358522278989344,0.6330914335348374
13,1238,0.06462035541195477,0.8048789941656173,0.8026529465632936
14,1238,0.08723747980613894,1.0219629457583501,1.0177129031376473
15,1237,0.15198059822150364,1.492654617274498,1.4036398152630163
