vent,n,draft_rate,perf_mean,perf_median
0,2895,0.0,-1.0476437195182065,-0.9844229140687437
1,2894,0.0,-0.6813795979757085,-0.676050982179704
2,2894,0.0,-0.5020936227394561,-0.5015264056969388
3,2894,0.0,-0.3672221258066769,-0.3666235112341573
4,2894,0.0003455425017277125,-0.2519594154982579,-0.25111735612406494
5,2894,0.0003455425017277125,-0.14861848552566698,-0.1485350925425222
6,2894,0.000691085003455425,-0.04965647354022793,-0.05127516226026131
7,2894,0.0010366275051831375,0.04966732233778999,0.049915194931993964
8,2895,0.0024179620034542313,0.14374266346293707,0.14447527938879218
9,2894,0.005183137525915688,0.24127173183488315,0.24208009651875168
10,2894,0.006219765031098825,0.3428100297326305,0.3426057999823838
11,2894,0.009675190048375951,0.45517831690250365,0.4542378705375839
12,2894,0.01796821008984105,0.5833674996792902,0.5834937449899418
13,2894,0.019004837595024186,0.7377012593390335,0.737269090140098
14,2894,0.03973738769868694,0.9447128325080582,0.9388109778874741
15,2894,0.07498272287491362,1.403327733846847,1.3124878797611719
