vent,n,draft_rate,perf_mean,perf_median
0,1053,0.0,-1.9518792954119,-1.8599856650259696
1,1052,0.0,-1.3831978542776073,-1.374375679222724
2,1052,0.0,-1.085720404400551,-1.0875522199463743
3,1052,0.0,-0.853402396957832,-0.8548680719100585
4,1053,0.0,-0.6495203242748893,-0.6490811126097593
5,1052,0.0,-0.464209662239501,-0.4634560418818739
6,1052,0.0009505703422053232,-0.28896425346987414,-0.29146213873329274
7,1052,0.0038022813688212928,-0.116044617546663,-0.11393442387299665
8,1053,0.005698005698005698,0.05514959170474939,0.0529586550555083
9,1052,0.016159695817490494,0.23529114180789912,0.23531910556915936
10,1052,0.016159695817490494,0.41569861107994305,0.4182054376432306
11,1052,0.028517110266159697,0.617954282056148,0.6172294418425854
12,1053,0.04748338081671415,0.8439329988813546,0.844804226736271
13,1052,0.058935361216730035,1.1186212758264786,1.1184508424212223
14,1052,0.07984790874524715,1.471637934895942,1.46254490460298
15,1052,0.14543726235741444,2.2166693984705557,2.066134876448275
