vent,n,draft_rate,poolq_mean,poolq_median
0,328,0.01524390243902439,-0.6023250088646068,-0.6162256056677414
1,214,0.004672897196261682,-0.5203708710114424,-0.519431753717746
2,360,0.03333333333333333,-0.4594255063449826,-0.4607525082875038
3,553,0.027124773960216998,-0.39428841631143685,-0.3922510029016894
4,784,0.01913265306122449,-0.3345058094126371,-0.3342592564340655
5,959,0.02502606882168926,-0.2712822354771271,-0.2701538655653256
6,1211,0.01981833195706028,-0.20912079151409474,-0.20862882046750036
7,1395,0.030107526881720432,-0.14686306772480529,-0.14635272931889254
8,1507,0.023888520238885203,-0.08359656022670077,-0.08305751955172451
9,1576,0.024746192893401017,-0.02248513425685538,-0.022063409249186074
10,1555,0.019935691318327974,0.03976478160630472,0.03896804394210804
11,1437,0.028531663187195546,0.10083176079133035,0.09949074570673581
12,1225,0.0326530612244898,0.1637202840694413,0.1634385703635137
13,974,0.023613963039014373,0.22648462935562022,0.22518155354816677
14,839,0.029797377830750895,0.289125228519784,0.2884421681355703
15,613,0.02773246329526917,0.35099988384085606,0.3501245469832045
16,419,0.028639618138424822,0.41287936664775926,0.41211261701454427
17,350,0.02857142857142857,0.47529389233315555,0.4742935420799985
18,231,0.021645021645021644,0.5378922636552702,0.5369768539886405
19,306,0.02287581699346405,0.6195309717953633,0.6341102007058526
