vent,n,draft_rate,poolq_mean,poolq_median
0,647,0.00927357032457496,-0.601853779685086,-0.6162256056677414
1,444,0.015765765765765764,-0.520113262819548,-0.5189605979769651
2,770,0.02987012987012987,-0.45851685796917485,-0.4582637118223049
3,1178,0.022071307300509338,-0.39542110317908796,-0.394760043446023
4,1710,0.01871345029239766,-0.3336121738018739,-0.3334108994405449
5,2128,0.021616541353383457,-0.27123038957617845,-0.270363674403613
6,2611,0.019149751053236307,-0.20927044698419514,-0.20937470311576442
7,3185,0.024175824175824177,-0.14713103600367347,-0.14676665844071518
8,3534,0.020939445387662705,-0.08416622687156766,-0.08404889898673218
9,3613,0.02075837254359258,-0.022275529439683892,-0.022116714670635026
10,3600,0.021111111111111112,0.03982333468400732,0.03928678425812245
11,3306,0.023290986085904415,0.10144119278378468,0.10035530479632496
12,2865,0.027225130890052355,0.16451728576929986,0.16408752750842925
13,2283,0.025843188786684186,0.22690646854181712,0.22556296619845442
14,1865,0.027882037533512063,0.28917194793375295,0.2885674214849516
15,1474,0.032564450474898234,0.3511743648908348,0.35044751202856705
16,1024,0.025390625,0.4135488259799159,0.41265284708610694
17,743,0.02557200538358008,0.4754785569103765,0.4744284844925404
18,473,0.02959830866807611,0.5379500409679241,0.5366037953269635
19,670,0.025373134328358207,0.6201573725082483,0.6341102007058526
