vent,n,draft_rate,poolq_mean,poolq_median
0,2383,0.0209819555182543,-0.4988676604753476,-0.4819757072393199
1,2383,0.019303399076793955,-0.3466333521388088,-0.34398371905144026
2,2383,0.02140159462861939,-0.2671821146410806,-0.2662972763991595
3,2382,0.018891687657430732,-0.20545174322750548,-0.20563368657141579
4,2383,0.025597985732270248,-0.15401601601509413,-0.15390744965169173
5,2383,0.01888375996642887,-0.10819824381320574,-0.10785796175454884
6,2382,0.023509655751469353,-0.0658944137355158,-0.0657215822831691
7,2383,0.019303399076793955,-0.024583091992527933,-0.024525783353501716
8,2383,0.02308015107007973,0.016146061080596092,0.016628974197003862
9,2382,0.018891687657430732,0.0574608063729356,0.057267747321832915
10,2383,0.024758707511540076,0.10012661846300207,0.09944046275750675
11,2383,0.026017624842635333,0.14797290348080905,0.1480704468400214
12,2382,0.026028547439126783,0.20225912055513776,0.20171981901637565
13,2383,0.026856903063365505,0.26892702858078366,0.2680229076563418
14,2383,0.030214015946286196,0.3557985045644768,0.3533845037011873
15,2382,0.02644836272040302,0.5189720452270176,0.5036840673662732
