vent,n,draft_rate,poolq_mean,poolq_median
0,1104,0.07336956521739131,-0.45668385181549714,-0.43516737562208596
1,1104,0.06793478260869565,-0.301036454214428,-0.29979396533688707
2,1104,0.0661231884057971,-0.21856226455347344,-0.21800420521075664
3,1103,0.07524932003626474,-0.15639016245051202,-0.1556810665249718
4,1104,0.058876811594202896,-0.10580861186436855,-0.10510856484501163
5,1104,0.06068840579710145,-0.06130583898536819,-0.06122464984486271
6,1103,0.057116953762466005,-0.01809954032023631,-0.01827614055142907
7,1104,0.0661231884057971,0.02282000412158577,0.022853634276357275
8,1104,0.05344202898550725,0.06329842909085738,0.06356750156303709
9,1103,0.06618313689936536,0.10630766529902039,0.10656340263735058
10,1104,0.0661231884057971,0.1528909298982584,0.15191588863257138
11,1104,0.06159420289855073,0.20153912104690003,0.20178081114071822
12,1103,0.06074342701722575,0.25766388874198204,0.2570853662640694
13,1104,0.06702898550724638,0.32295958623221005,0.3228912545855295
14,1104,0.06431159420289854,0.4086727225944251,0.40581928676302914
15,1103,0.061650045330915684,0.5606136879842427,0.5550079185696637
