vent,n,draft_rate,poolq_mean,poolq_median
0,381,0.08923884514435695,-0.4681450753221914,-0.43980269674697425
1,381,0.07611548556430446,-0.3049718328314423,-0.3031268561207829
2,381,0.07874015748031496,-0.22085509441519652,-0.21925313194891435
3,381,0.09186351706036745,-0.15605718447780592,-0.15605544348209488
4,381,0.06299212598425197,-0.1044394008496135,-0.10374401143518945
5,381,0.08398950131233596,-0.06023481646236992,-0.05889770687446802
6,381,0.06036745406824147,-0.01729673222026624,-0.01677505653147301
7,381,0.06299212598425197,0.02211088820462081,0.021472292180861604
8,381,0.05511811023622047,0.062482900822594625,0.06387778402104179
9,381,0.08136482939632546,0.10342129368957928,0.10309272120407081
10,381,0.08136482939632546,0.14790604215518333,0.14815965639841003
11,381,0.05511811023622047,0.19900556524790583,0.19877594109960323
12,381,0.06824146981627296,0.2570167927957902,0.25636530732930657
13,381,0.06036745406824147,0.32105832129794143,0.32068858674163714
14,381,0.06299212598425197,0.4081120494943511,0.403134806199357
15,380,0.042105263157894736,0.5575822783874105,0.5515811110004428
