vent,n,draft_rate,poolq_mean,poolq_median
0,325,0.003076923076923077,-1.0985150816555111,-1.1214945055809755
1,343,0.0029154518950437317,-0.9325134708749744,-0.9277727610046703
2,283,0.0035335689045936395,-0.8215838963336984,-0.8219970241520714
3,461,0.004338394793926247,-0.6974286843821975,-0.6919825797067088
4,765,0.006535947712418301,-0.5828103217570438,-0.5816469621445335
5,1140,0.002631578947368421,-0.454368584935719,-0.450416556531668
6,1665,0.004804804804804805,-0.3397367166425075,-0.339266345883485
7,1824,0.004934210526315789,-0.22369902967144314,-0.22557393987631227
8,2154,0.012534818941504178,-0.1034865151174753,-0.10133196236644441
9,2343,0.012377294067434912,0.012555568325142288,0.013246859367635236
10,2132,0.02298311444652908,0.1308987443185237,0.1290349977988716
11,1723,0.030179918746372606,0.2519360482055824,0.25052331291063723
12,1368,0.03216374269005848,0.3698983825730375,0.3714943114738939
13,1106,0.054249547920433995,0.492230612230737,0.492003400963805
14,610,0.07540983606557378,0.6098584750612265,0.6115116191658141
15,546,0.09157509157509157,0.7320072927657763,0.7316732920973053
16,372,0.10752688172043011,0.8503671545141092,0.8460093054063335
17,196,0.11224489795918367,0.9648129093767206,0.9572277203354438
18,155,0.17419354838709677,1.091867472806875,1.096062204802396
19,292,0.1506849315068493,1.2487892945232975,1.2698646074047633
