vent,n,draft_rate,poolq_mean,poolq_median
0,136,0.007352941176470588,-1.070183951385178,-1.0891150417307163
1,75,0.02666666666666667,-0.9097426638509819,-0.9201248001574875
2,92,0.0,-0.7921417322473535,-0.8040148275323418
3,198,0.010101010101010102,-0.6652158694107703,-0.6578825135686621
4,318,0.018867924528301886,-0.5521330484073744,-0.5397867242268611
5,334,0.011976047904191617,-0.44214444982382506,-0.44927818477472903
6,538,0.027881040892193308,-0.31947259267396594,-0.3106032577191143
7,624,0.02564102564102564,-0.19922894145222458,-0.19521916890290975
8,927,0.03128371089536138,-0.08672715148089234,-0.08878145160732329
9,920,0.030434782608695653,0.03065298228259213,0.032754320144893476
10,856,0.07009345794392523,0.14991879834656854,0.15439732855828212
11,750,0.07866666666666666,0.26210597105790473,0.2617561767598654
12,558,0.07885304659498207,0.3786986363024348,0.37779559553908726
13,534,0.10112359550561797,0.5017850566180949,0.5009872347661108
14,305,0.16065573770491803,0.616303654826589,0.6127740956435782
15,269,0.16728624535315986,0.7338127185562713,0.7348158918933742
16,142,0.21830985915492956,0.8520404554944428,0.8465395793551054
17,85,0.25882352941176473,0.9797130082289803,0.9882701140604008
18,84,0.27380952380952384,1.0840468900382625,1.0912381973324137
19,119,0.25210084033613445,1.2482259793624686,1.268654751172679
