vent,n,draft_rate,poolq_mean,poolq_median
0,232,0.008620689655172414,-0.22349859354271928,-0.2293128065160659
1,145,0.0,-0.17741938412367175,-0.18581072450240582
2,290,0.017241379310344827,-0.13475295619854144,-0.1321670200179837
3,352,0.011363636363636364,-0.09756807129000743,-0.09580105114066849
4,612,0.013071895424836602,-0.06162160546414457,-0.060829349806634174
5,882,0.027210884353741496,-0.024760619492102946,-0.024705093109876272
6,1080,0.017592592592592594,0.011165426914202881,0.012413306736605376
7,1141,0.03768624014022787,0.05079113868663053,0.053789725284040524
8,1435,0.017421602787456445,0.08433459645919693,0.08395065306991972
9,1520,0.025,0.12153344571528903,0.12153746742114283
10,1778,0.028683914510686165,0.15838670595336013,0.15879733941872887
11,1483,0.03236682400539447,0.19590823622474496,0.19636334592558485
12,1404,0.03774928774928775,0.23376663560122496,0.23297860336057793
13,1114,0.04937163375224417,0.27146811491135786,0.27081059484091585
14,734,0.04087193460490463,0.3067533883870287,0.3065377133979743
15,756,0.046296296296296294,0.3422106355253542,0.3425734072428099
16,544,0.04044117647058824,0.382144658592054,0.38134199708393074
17,386,0.04404145077720207,0.41106610661179444,0.4101803684785352
18,292,0.04794520547945205,0.45788333517581636,0.4577426246153644
19,295,0.0711864406779661,0.5016628436768283,0.5107683417534018
