vent,n,draft_rate,poolq_mean,poolq_median
0,258,0.003875968992248062,-0.4995569483304752,-0.5116350101188204
1,181,0.022099447513812154,-0.42378817582493405,-0.41956053077842076
2,300,0.03666666666666667,-0.3679211236340542,-0.36587837906989673
3,538,0.048327137546468404,-0.3028156052744124,-0.2976949109774681
4,545,0.05137614678899083,-0.2563730320663456,-0.2563167054520094
5,776,0.05670103092783505,-0.19440226237711825,-0.1960916068987934
6,804,0.06343283582089553,-0.13797518746779533,-0.13883549648071344
7,1205,0.044813278008298756,-0.08400495898890308,-0.08601100294538232
8,1099,0.04640582347588717,-0.026317275845910336,-0.02781320968539192
9,1226,0.06443719412724307,0.030482567114600925,0.029198963255005157
10,1263,0.0665083135391924,0.08718544884046951,0.08602422289966245
11,1082,0.07486136783733827,0.14657384809796978,0.1469101342343003
12,837,0.1003584229390681,0.20210298320657982,0.20031326900882565
13,729,0.0877914951989026,0.2573374616823543,0.2554024191343173
14,749,0.09345794392523364,0.317365754550997,0.3214623789879581
15,459,0.11546840958605664,0.373886944928024,0.3783856661113231
16,455,0.08571428571428572,0.4288962169688115,0.4295212636656414
17,224,0.0625,0.48575820246060486,0.48370507902522886
18,215,0.06976744186046512,0.5427720082540903,0.5388392107307187
19,238,0.12184873949579832,0.6166527082673587,0.6317025800350896
