vent,n,draft_rate,poolq_mean,poolq_median
0,2895,0.0031088082901554403,-0.46971659223415935,-0.45829918307273526
1,2894,0.013130615065653075,-0.3249354605391596,-0.32371110609752957
2,2894,0.012785072563925363,-0.2543641603811927,-0.2520276423776977
3,2894,0.015894955079474776,-0.19392093486216264,-0.19306156068230101
4,2894,0.01624049758120249,-0.14677789200045066,-0.1455163247702208
5,2894,0.0165860400829302,-0.10517311626491231,-0.10503011958214409
6,2894,0.016931582584657913,-0.06653114030216811,-0.06760973741810039
7,2894,0.019695922598479614,-0.024560488068474058,-0.023504919604195016
8,2895,0.02521588946459413,0.015909619238312737,0.015639430496139802
9,2894,0.021078092605390463,0.05311089184185706,0.05171308493105607
10,2894,0.022805805114029024,0.09228757951901663,0.09138989880508043
11,2894,0.03420870767104354,0.13915577495714143,0.1391768950952803
12,2894,0.03766413268832066,0.1886737494156794,0.1880238749510936
13,2894,0.036627505183137524,0.2547158595993788,0.2540093522035243
14,2894,0.04733932273669662,0.3403254107439524,0.3386432162240574
15,2894,0.05217691776088459,0.5028932683342503,0.491347337482434
