vent,n,draft_rate,poolq_mean,poolq_median
0,824,0.02063106796116505,-0.41741554775322526,-0.40486602526420784
1,824,0.05461165048543689,-0.28336138768310093,-0.2861122188767018
2,824,0.05825242718446602,-0.20683160612045573,-0.2069698399594949
3,824,0.06432038834951456,-0.1460766226548294,-0.1465679800574409
4,824,0.03519417475728155,-0.09831841053858477,-0.09725802147921332
5,824,0.04975728155339806,-0.057666972220288076,-0.05698094724949081
6,824,0.055825242718446605,-0.0164065146736813,-0.017183432992725785
7,824,0.06067961165048544,0.024022283025867994,0.026097647414460842
8,824,0.06432038834951456,0.06307882173568455,0.0633612561007237
9,824,0.06553398058252427,0.09801000706048,0.09662560881444555
10,824,0.07524271844660194,0.142552016801334,0.1424114083968987
11,824,0.10558252427184465,0.18751195533044718,0.18879626117858928
12,824,0.07402912621359223,0.24424754005311147,0.24668932658235343
13,824,0.09587378640776699,0.30971150014870036,0.3104645997641316
14,824,0.10922330097087378,0.3895782771665585,0.3849832779829928
15,823,0.08140947752126367,0.5314007095479458,0.5260780412726266
