vent,n,draft_rate,perf_mean,perf_median
0,2316,0.0,-1.1012032633641582,-1.0401753263638835
1,2315,0.0,-0.7517539418811889,-0.7471701129996776
2,2315,0.0,-0.5818255328683556,-0.5790060719512335
3,2316,0.0,-0.45849893840520445,-0.45685440820278694
4,2315,0.0,-0.35470156263342456,-0.3551212518309985
5,2315,0.00043196544276457883,-0.2624055104305555,-0.2625757540957786
6,2316,0.0,-0.17870702156091647,-0.17797281780742794
7,2315,0.0008639308855291577,-0.09965981166313401,-0.10033304354664101
8,2315,0.00043196544276457883,-0.019097086729056956,-0.018579891188996896
9,2315,0.0012958963282937365,0.059194552577385075,0.05935604027950681
10,2316,0.002158894645941278,0.13414336848009864,0.13413252963188518
11,2315,0.004751619870410367,0.2118106456413268,0.211984336369691
12,2315,0.005615550755939525,0.29090639576529165,0.2909820670961909
13,2316,0.008203799654576857,0.37474065143812174,0.37355960788278675
14,2315,0.008639308855291577,0.46712239171944386,0.4676183701315354
15,2315,0.017710583153347732,0.5696945705228248,0.5698962289252011
16,2316,0.017271157167530225,0.6862807201807387,0.6850971949579274
17,2315,0.028941684665226782,0.8309303652570337,0.8291064825367356
18,2315,0.04319654427645788,1.0250141495692773,1.0209574232497836
19,2315,0.08250539956803456,1.4745666337400796,1.38270353550821
