vent,n,draft_rate,perf_mean,perf_median
0,1043,0.0,-1.1319411587278672,-1.0609334394056795
1,1042,0.0,-0.7542867291378352,-0.7498818265244012
2,1042,0.0,-0.5802774945508388,-0.5786699061060905
3,1043,0.0,-0.4541248161546713,-0.4554532196364356
4,1042,0.0,-0.34095981619329485,-0.339624907952897
5,1042,0.0019193857965451055,-0.24530123328075149,-0.243749657047292
6,1043,0.0009587727708533077,-0.15870121686231314,-0.159042665695488
7,1042,0.0009596928982725527,-0.07586669426480527,-0.07520982309805405
8,1042,0.0028790786948176585,0.009071481738848157,0.009800056052086198
9,1042,0.003838771593090211,0.09023140042231023,0.08929177425352602
10,1043,0.007670182166826462,0.17153352618767442,0.16980592886473336
11,1042,0.013435700575815739,0.2527742454285502,0.25336620149632205
12,1042,0.014395393474088292,0.3387222016339457,0.339297660125458
13,1043,0.02109300095877277,0.4289419625763024,0.4295029021083214
14,1042,0.03358925143953935,0.5243738540593825,0.5229888816493231
15,1042,0.03742802303262956,0.628713296841764,0.627070349943927
16,1043,0.04793863854266539,0.7513354146894865,0.750713743133016
17,1042,0.08157389635316699,0.8988939733521464,0.8971920855869535
18,1042,0.11324376199616124,1.1042565682863263,1.0979483879232517
19,1042,0.2034548944337812,1.5824599297388557,1.4770062443532397
