vent,n,draft_rate,perf_mean,perf_median
0,1030,0.0,-1.0249522459317497,-0.9573215457762109
1,1030,0.0,-0.6497099864711893,-0.6436403116680933
2,1030,0.0,-0.473705987834813,-0.4714470892123457
3,1029,0.0,-0.3355216872557702,-0.333750803182022
4,1030,0.000970873786407767,-0.22037045512349562,-0.22095208880341569
5,1030,0.001941747572815534,-0.11621089039514076,-0.11616415121133045
6,1029,0.0009718172983479105,-0.014815341787042514,-0.012546116144732358
7,1030,0.0048543689320388345,0.08404957890086998,0.08338841925329173
8,1030,0.010679611650485437,0.1825455090452734,0.18183221712032888
9,1029,0.015549076773566569,0.28027415480163587,0.27854706377635774
10,1030,0.019417475728155338,0.38596719523208933,0.3851032277731532
11,1030,0.030097087378640777,0.49917258520456204,0.49875523321041415
12,1029,0.0456754130223518,0.626533727692001,0.6251870011525515
13,1030,0.062135922330097085,0.7794472310817401,0.7786535887749864
14,1030,0.1145631067961165,0.9835756716960736,0.9776287325824609
15,1029,0.1924198250728863,1.441051708603846,1.341191940817097
