vent,n,draft_rate,perf_mean,perf_median
0,824,0.0012135922330097086,-1.8253804643454326,-1.7529203028804383
1,824,0.006067961165048544,-1.256301824856696,-1.2456670464076378
2,824,0.010922330097087379,-0.9723778137761389,-0.9693667591391848
3,824,0.012135922330097087,-0.7473906742385054,-0.7445133050992994
4,824,0.009708737864077669,-0.5638348296425868,-0.5600894471767814
5,824,0.023058252427184466,-0.39009565767330434,-0.3880272670545375
6,824,0.02669902912621359,-0.223268321903845,-0.22155051194314013
7,824,0.03033980582524272,-0.06731556718546307,-0.06867208570749936
8,824,0.03762135922330097,0.09404192116148566,0.09246839769579951
9,824,0.0703883495145631,0.25078563262232495,0.24833531867957587
10,824,0.061893203883495146,0.4222605613784344,0.4210700201589237
11,824,0.08373786407766991,0.606491489754648,0.605360289559913
12,824,0.1104368932038835,0.8201439864521693,0.8199307753463627
13,824,0.1395631067961165,1.074103154871727,1.071845877305635
14,824,0.17233009708737865,1.4047131649371305,1.3975844698714461
15,823,0.27460510328068044,2.127629513948719,1.9922206879883761
