vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,510,7,0.013725490196078431,-0.5925568195346046,-0.6140188028352481,-0.6140188028352481,-0.5354198085180297,1,-0.6140188028352481,-0.5353504394726262,-0.5746846211539371,"[-0.614, -0.5354)"
1,506,12,0.023715415019762844,-0.49167535144964275,-0.48807248197136366,-0.5352748675032458,-0.4569060822826276,2,-0.5353504394726262,-0.4566820761100043,-0.4960162577913152,"[-0.5354, -0.4567)"
2,840,25,0.02976190476190476,-0.4129524185194316,-0.41105533739893596,-0.45665380517207077,-0.37808002428817417,3,-0.4566820761100043,-0.3780137127473824,-0.41734789442869336,"[-0.4567, -0.378)"
3,1309,29,0.02215431627196333,-0.3373791208255463,-0.33620410546440693,-0.3777999430603845,-0.29944741835163813,4,-0.3780137127473824,-0.29934534938476043,-0.3386795310660714,"[-0.378, -0.2993)"
4,1735,36,0.0207492795389049,-0.25784173843110736,-0.25704160231871004,-0.29925883058841685,-0.22069038638365396,5,-0.29934534938476043,-0.22067698602213848,-0.26001116770344945,"[-0.2993, -0.2207)"
5,2281,65,0.028496273564226217,-0.18079637326376624,-0.1803219722122615,-0.22066715579473312,-0.14207498208863478,6,-0.22067698602213848,-0.14200862265951658,-0.18134280434082753,"[-0.2207, -0.142)"
6,2564,49,0.019110764430577222,-0.10202427686627435,-0.10143651078814958,-0.1419902157336989,-0.06336185744468165,7,-0.14200862265951658,-0.06334025929689469,-0.10267444097820563,"[-0.142, -0.06334)"
7,2658,73,0.02746425884123401,-0.024322103380256404,-0.02407280582907458,-0.06333639427831915,0.01531985148041846,8,-0.06334025929689469,0.015328104065727266,-0.02400607761558371,"[-0.06334, 0.01533)"
8,2611,69,0.026426656453466105,0.05466488546568821,0.05462954881830093,0.015375473012158603,0.09399117670385948,9,0.015328104065727266,0.09399646742834922,0.05466228574703824,"[0.01533, 0.094)"
9,2160,66,0.030555555555555555,0.1319563600909016,0.13184342871835428,0.0940127579841001,0.1725958459643202,10,0.09399646742834922,0.17266483079097117,0.1333306491096602,"[0.094, 0.1727)"
10,1742,53,0.030424799081515498,0.21033866533784956,0.20957352716728714,0.17268899022405848,0.2513221460216688,11,0.17266483079097117,0.251333194153593,0.2119990124722821,"[0.1727, 0.2513)"
11,1404,43,0.030626780626780627,0.2894861550605436,0.2884806382773967,0.25135304903966427,0.329949299134387,12,0.251333194153593,0.33000155751621496,0.290667375834904,"[0.2513, 0.33)"
12,967,36,0.03722854188210962,0.3669310705489813,0.3658168146071729,0.3301284551397614,0.4086260058413167,13,0.33000155751621496,0.4086699208788368,0.3693357391975259,"[0.33, 0.4087)"
13,643,26,0.04043545878693624,0.44599244147153044,0.4451355534108371,0.40869767395404905,0.48730248397314774,14,0.4086699208788368,0.48733828424145875,0.4480041025601478,"[0.4087, 0.4873)"
14,406,13,0.03201970443349754,0.5241329633876896,0.521955945168189,0.48739512149427855,0.5656246411870083,15,0.48733828424145875,0.5660066476040807,0.5266724659227697,"[0.4873, 0.566)"
15,459,13,0.02832244008714597,0.6228492113345067,0.6396315885548373,0.5668279971351631,0.6446750109667025,16,0.5660066476040807,0.6446750109667025,0.6053408292853917,"[0.566, 0.6447)"
