vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,1077,13,0.012070566388115135,-0.5924563036259839,-0.6140188028352481,-0.6140188028352481,-0.5354198085180297,1,-0.6140188028352481,-0.5353504394726262,-0.5746846211539371,"[-0.614, -0.5354)"
1,1107,22,0.01987353206865402,-0.49237578171784846,-0.4901335502478154,-0.5352748675032458,-0.4568802540294437,2,-0.5353504394726262,-0.4566820761100043,-0.4960162577913152,"[-0.5354, -0.4567)"
2,1872,47,0.025106837606837608,-0.41383978945555916,-0.4122422305407605,-0.45665380517207077,-0.3780600217091882,3,-0.4566820761100043,-0.3780137127473824,-0.41734789442869336,"[-0.4567, -0.378)"
3,2986,64,0.021433355659745478,-0.3356682155228596,-0.33438901114015096,-0.3779727027348185,-0.29939694711327647,4,-0.3780137127473824,-0.29934534938476043,-0.3386795310660714,"[-0.378, -0.2993)"
4,4026,83,0.02061599602583209,-0.25745022850890276,-0.2566339663227204,-0.29925883058841685,-0.22069038638365396,5,-0.29934534938476043,-0.22067698602213848,-0.26001116770344945,"[-0.2993, -0.2207)"
5,5334,132,0.024746906636670417,-0.17987046874006435,-0.17893130699614931,-0.22067373008644214,-0.14201075044033734,6,-0.22067698602213848,-0.14200862265951658,-0.18134280434082753,"[-0.2207, -0.142)"
6,6274,124,0.01976410583359898,-0.10196571937473956,-0.10139339724464501,-0.14199490268538362,-0.06334495663809546,7,-0.14200862265951658,-0.06334025929689469,-0.10267444097820563,"[-0.142, -0.06334)"
7,6449,148,0.022949294464258023,-0.02394667917765784,-0.023772579129579148,-0.0633397219717074,0.01532560073048981,8,-0.06334025929689469,0.015328104065727266,-0.02400607761558371,"[-0.06334, 0.01533)"
8,6275,166,0.02645418326693227,0.05427544734978858,0.053772214448029806,0.015375473012158603,0.09399117670385948,9,0.015328104065727266,0.09399646742834922,0.05466228574703824,"[0.01533, 0.094)"
9,5357,144,0.026880716819115177,0.13199270397884133,0.13174608648760833,0.0940008990645602,0.17264786168279514,10,0.09399646742834922,0.17266483079097117,0.1333306491096602,"[0.094, 0.1727)"
10,4320,129,0.029861111111111113,0.20977516500523263,0.20896529280771844,0.1726738973812554,0.2513221460216688,11,0.17266483079097117,0.251333194153593,0.2119990124722821,"[0.1727, 0.2513)"
11,3409,112,0.03285420944558522,0.288948316463228,0.28831201427869513,0.2513455616526757,0.329970828444792,12,0.251333194153593,0.33000155751621496,0.290667375834904,"[0.2513, 0.33)"
12,2406,90,0.03740648379052369,0.36694494803196,0.36578754765318655,0.33001505241398654,0.40865129264939454,13,0.33000155751621496,0.4086699208788368,0.3693357391975259,"[0.33, 0.4087)"
13,1601,47,0.029356652092442224,0.4444497253928988,0.4429699231782166,0.4086960021529591,0.48730248397314774,14,0.4086699208788368,0.48733828424145875,0.4480041025601478,"[0.4087, 0.4873)"
14,955,36,0.03769633507853403,0.5238726283479287,0.5215105156930888,0.48739512149427855,0.5656246411870083,15,0.48733828424145875,0.5660066476040807,0.5266724659227697,"[0.4873, 0.566)"
15,1134,43,0.03791887125220458,0.6233477298740984,0.6404479681360706,0.5664281362270445,0.6446750109667025,16,0.5660066476040807,0.6446750109667025,0.6053408292853917,"[0.566, 0.6447)"
