vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,82,3,0.036585365853658534,-0.5702004300699857,-0.5719156721407459,-0.6070657618618239,-0.5263798340065688,1,-0.6070657618618239,-0.5244320653672412,-0.5657489136145326,"[-0.6071, -0.5244)"
1,161,8,0.049689440993788817,-0.4788064540375595,-0.477073882568555,-0.5236348294706895,-0.4421749215265971,2,-0.5244320653672412,-0.44179836887265833,-0.48311521711994976,"[-0.5244, -0.4418)"
2,420,7,0.016666666666666666,-0.39708533816100194,-0.39499948697615994,-0.44173964409369215,-0.35919603677220385,3,-0.44179836887265833,-0.35916467237807553,-0.4004815206253669,"[-0.4418, -0.3592)"
3,717,19,0.026499302649930265,-0.31364784282115055,-0.31064749475601516,-0.3591491099512029,-0.2766391005348221,4,-0.35916467237807553,-0.27653097588349274,-0.31784782413078416,"[-0.3592, -0.2765)"
4,1396,44,0.03151862464183381,-0.23150233733996833,-0.22982747244631763,-0.2764444640839988,-0.1939657633158265,5,-0.27653097588349274,-0.19389727938890994,-0.23521412763620134,"[-0.2765, -0.1939)"
5,2285,58,0.02538293216630197,-0.14963697613529167,-0.14846918149465194,-0.19378634883579943,-0.11128228800066739,6,-0.19389727938890994,-0.11126358289432714,-0.15258043114161854,"[-0.1939, -0.1113)"
6,3152,82,0.02601522842639594,-0.06857584286003252,-0.06750091447933355,-0.11124175498818646,-0.028672848642081153,7,-0.11126358289432714,-0.028629886399744398,-0.06994673464703577,"[-0.1113, -0.02863)"
7,3763,99,0.02630879617326601,0.01342342583772025,0.013074528558929373,-0.028582236324115166,0.05393501237436488,8,-0.028629886399744398,0.054003810094838456,0.01268696184754703,"[-0.02863, 0.054)"
8,3700,93,0.025135135135135135,0.09428698727512165,0.09406528066546602,0.05405112146070083,0.13658896793105418,9,0.054003810094838456,0.1366375065894213,0.09532065834212988,"[0.054, 0.1366)"
9,3002,78,0.02598267821452365,0.17441801469715082,0.17340797855456414,0.13667725016999138,0.21921160235794152,10,0.1366375065894213,0.21927120308400405,0.17795435483671268,"[0.1366, 0.2193)"
10,1818,49,0.02695269526952695,0.2567180974018797,0.25535237186589665,0.21930941581624386,0.3018107455970039,11,0.21927120308400405,0.3019048995785868,0.2605880513312954,"[0.2193, 0.3019)"
11,1034,35,0.033849129593810444,0.3397263359147064,0.3381753749263993,0.3020852045015387,0.38438250078632047,12,0.3019048995785868,0.38453859607316965,0.3432217478258782,"[0.3019, 0.3845)"
12,544,15,0.027573529411764705,0.4204943386324739,0.41599809821174283,0.3846612936110168,0.46648574550584543,13,0.38453859607316965,0.4671722925677525,0.4258554443204611,"[0.3845, 0.4672)"
13,327,11,0.03363914373088685,0.5038237922625328,0.4999018988186957,0.46735781385668285,0.5492630811807785,14,0.4671722925677525,0.5498059890623351,0.5084891408150438,"[0.4672, 0.5498)"
14,160,4,0.025,0.5858522124555321,0.5844106752185009,0.5499884418601672,0.6318854664921222,15,0.5498059890623351,0.632439685556918,0.5911228373096266,"[0.5498, 0.6324)"
15,234,4,0.017094017094017096,0.6950999261752215,0.715073382051501,0.632865583027415,0.715073382051501,16,0.632439685556918,0.715073382051501,0.6737565338042095,"[0.6324, 0.7151)"
