vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,221,12,0.05429864253393665,-0.6002619772509225,-0.6140188028352481,-0.6140188028352481,-0.5514008046384157,1,-0.6140188028352481,-0.5510841121451506,-0.5825514574901993,"[-0.614, -0.5511)"
1,176,10,0.056818181818181816,-0.5162521346617088,-0.5155066252416443,-0.5507842467774968,-0.48861979033078146,2,-0.5510841121451506,-0.488149421455053,-0.5196167668001018,"[-0.5511, -0.4881)"
2,311,27,0.08681672025723473,-0.45431513888363323,-0.45104980356782587,-0.48778554763519655,-0.4256223578035082,3,-0.488149421455053,-0.42521473076495553,-0.4566820761100043,"[-0.4881, -0.4252)"
3,502,44,0.08764940239043825,-0.3909258458480953,-0.3894566992131885,-0.4250706641598824,-0.3622807822827551,4,-0.42521473076495553,-0.362280040074858,-0.3937473854199067,"[-0.4252, -0.3623)"
4,754,53,0.07029177718832891,-0.3285471180462086,-0.3282025729687025,-0.36212053943713235,-0.29940341283070043,5,-0.362280040074858,-0.29934534938476043,-0.33081269472980923,"[-0.3623, -0.2993)"
5,967,72,0.07445708376421924,-0.266040930513241,-0.2654068814070786,-0.29925883058841685,-0.23641072542053487,6,-0.29934534938476043,-0.23641065869466293,-0.2678780040397117,"[-0.2993, -0.2364)"
6,1245,77,0.061847389558232935,-0.20412308595934728,-0.20431931699838043,-0.2363946634411924,-0.17349421962889333,7,-0.23641065869466293,-0.17347596800456538,-0.20494331334961416,"[-0.2364, -0.1735)"
7,1682,115,0.06837098692033294,-0.14159950671420954,-0.14162977634371082,-0.17345080542131974,-0.11060133050792911,8,-0.17347596800456538,-0.11054127731446783,-0.1420086226595166,"[-0.1735, -0.1105)"
8,1983,115,0.05799293998991427,-0.07822951683875834,-0.07804255214823574,-0.11049391422393907,-0.04760692541918609,9,-0.11054127731446783,-0.04760658662437034,-0.07907393196941909,"[-0.1105, -0.04761)"
9,2041,108,0.05291523762861342,-0.01563168293465591,-0.015453718425597375,-0.047597108940902154,0.01532560073048981,10,-0.04760658662437034,0.015328104065727266,-0.016139241279321537,"[-0.04761, 0.01533)"
10,2129,128,0.060122123062470646,0.04653374900359846,0.046393625519810286,0.015375473012158603,0.07824988957515407,11,0.015328104065727266,0.07826279475582476,0.04679544941077601,"[0.01533, 0.07826)"
11,1979,123,0.06215260232440627,0.1094028932090725,0.10945860243295664,0.07828034012881553,0.14117476259666187,12,0.07826279475582476,0.14119748544592226,0.10973014010087351,"[0.07826, 0.1412)"
12,1827,116,0.06349206349206349,0.172204925856921,0.17263071961414933,0.14119902438375284,0.20411902545872182,13,0.14119748544592226,0.20413217613601986,0.17266483079097106,"[0.1412, 0.2041)"
13,1548,94,0.060723514211886306,0.23488947787513068,0.23495768038130221,0.2041322867143287,0.2670324857755332,14,0.20413217613601986,0.26706686682611736,0.2355995214810686,"[0.2041, 0.2671)"
14,1339,90,0.06721433905899925,0.2977847744577348,0.29740454612784306,0.267076298036086,0.3299679754689237,15,0.26706686682611736,0.33000155751621496,0.29853421217116616,"[0.2671, 0.33)"
15,1087,75,0.06899724011039558,0.36083929599440767,0.359415591745271,0.33001505241398654,0.392807250813491,16,0.33000155751621496,0.39293624820631246,0.3614689028612637,"[0.33, 0.3929)"
16,788,47,0.05964467005076142,0.4220860165424394,0.420919934666923,0.3929379674213363,0.45586049443216253,17,0.39293624820631246,0.45587093889641006,0.42440359355136126,"[0.3929, 0.4559)"
17,564,32,0.05673758865248227,0.4860165526528663,0.4855516069536612,0.4561276245962624,0.518747126167727,18,0.45587093889641006,0.5188056295865074,0.48733828424145875,"[0.4559, 0.5188)"
18,381,22,0.05774278215223097,0.5481802369518299,0.5476426453220217,0.5188193708271308,0.5816109761603638,19,0.5188056295865074,0.581740320276605,0.5502729749315562,"[0.5188, 0.5817)"
19,559,40,0.07155635062611806,0.6282364960288463,0.6446750109667025,0.5818607254657344,0.6446750109667025,20,0.581740320276605,0.6446750109667025,0.6132076656216539,"[0.5817, 0.6447)"
