vent,n,draft_rate,poolq_mean,poolq_median
0,89,0.056179775280898875,-0.603614681140048,-0.6162256056677414
1,39,0.02564102564102564,-0.521650470767063,-0.5193076563302811
2,82,0.14634146341463414,-0.45821374792918357,-0.45930913375286164
3,145,0.10344827586206896,-0.39502486314636515,-0.39224958948574773
4,214,0.07009345794392523,-0.3341968367016244,-0.3331083145257234
5,277,0.08664259927797834,-0.27121402335748435,-0.2701538655653256
6,330,0.07272727272727272,-0.20951000649999255,-0.2086224192417222
7,449,0.0935412026726058,-0.14664808086661665,-0.1464096165663468
8,529,0.06805293005671077,-0.08345474213269477,-0.08328449635493348
9,565,0.06902654867256637,-0.02215997876312919,-0.02140107180055238
10,597,0.051926298157453935,0.03901517188473461,0.038420235673841306
11,564,0.0726950354609929,0.1013575176148805,0.09998714883268922
12,486,0.0823045267489712,0.16360207269885857,0.16268209941446465
13,411,0.05596107055961071,0.2270314011754022,0.22558711407568355
14,371,0.0673854447439353,0.28951228981255245,0.28854143309488245
15,292,0.05821917808219178,0.350953102481362,0.3513547796108354
16,213,0.056338028169014086,0.4118568120328098,0.409967932972816
17,161,0.062111801242236024,0.4772024439384008,0.4800079958061118
18,126,0.03968253968253968,0.5394018154270203,0.539586595722571
19,155,0.04516129032258064,0.6158848042466403,0.6297501471617813
