vent,n,draft_rate,poolq_mean,poolq_median
0,157,0.03821656050955414,-0.6028448603148004,-0.6162256056677414
1,107,0.06542056074766354,-0.5187807496048599,-0.5173839881936225
2,193,0.11917098445595854,-0.4567470477572146,-0.4561146527691898
3,310,0.08387096774193549,-0.39489284741795777,-0.39404071614707237
4,457,0.0700218818380744,-0.3336089832706064,-0.3336940707690752
5,620,0.07419354838709677,-0.2714121311530672,-0.27117114361255873
6,713,0.07012622720897616,-0.20963427899098097,-0.2095533027763196
7,983,0.07833163784333673,-0.1472513202800843,-0.14692691995912585
8,1144,0.06468531468531469,-0.0837087524581019,-0.0829148467270984
9,1212,0.06188118811881188,-0.022344544260376322,-0.02193271466354109
10,1281,0.05932864949258392,0.03976469199122734,0.03898668625455424
11,1178,0.06536502546689305,0.10204490703917456,0.10115531567493188
12,1075,0.07255813953488371,0.16476220832001964,0.16478193723693502
13,899,0.06562847608453838,0.22711054791093588,0.22554272860714536
14,775,0.06709677419354838,0.28991781453713406,0.2902794388345419
15,664,0.07228915662650602,0.35085425000689857,0.3502153633964009
16,495,0.052525252525252523,0.4127082173920664,0.41215732133949357
17,358,0.05307262569832402,0.4767825447939287,0.47710723052495807
18,244,0.05737704918032787,0.538661529904373,0.5368763904110161
19,318,0.05345911949685535,0.6180551610242806,0.6341102007058526
