vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,3412,66,0.019343493552168817,-0.5004098184732821,-0.48465437049390936,-0.6140188028352481,-0.40051236376951166,1
1,3411,76,0.022280856053943126,-0.34790113939414585,-0.34503636551960937,-0.4004741732890221,-0.3037697246151908,2
2,3412,76,0.022274325908558032,-0.26755139124483723,-0.2662639901925228,-0.3037676801656655,-0.23499991974000797,3
3,3411,66,0.019349164467897976,-0.2070418204171161,-0.20728982567067283,-0.23498413703561005,-0.17984814450831885,4
4,3411,92,0.026971562591615362,-0.15634689082165146,-0.15599060736877648,-0.1798470319209338,-0.1340623978564074,5
5,3412,70,0.020515826494724502,-0.11145733073527692,-0.11090210433613273,-0.13404407186142617,-0.09000880100872988,6
6,3411,78,0.022867194371152155,-0.06929757630101155,-0.0692262242791663,-0.09000238089285309,-0.04857185674056334,7
7,3411,70,0.020521841102316037,-0.027727848425503486,-0.027393503919200406,-0.048550699785078574,-0.0072098168581214055,8
8,3412,81,0.023739742086752638,0.013723760246884065,0.013803274977484606,-0.007199890697583348,0.03449407702979164,9
9,3411,85,0.024919378481383758,0.0559300104921546,0.05563956325809539,0.03449586929732321,0.07759888397274967,10
10,3412,93,0.027256740914419694,0.09988775814920316,0.09943560524733476,0.07760132959455844,0.12305364265373635,11
11,3411,97,0.028437408384637937,0.14895785190134955,0.1489662960297303,0.1230574074418332,0.1758539263870023,12
12,3411,97,0.028437408384637937,0.20443960445884773,0.2037394400246534,0.17586216342521221,0.23615108127406223,13
13,3412,115,0.033704572098475966,0.272506324212599,0.2718253460740927,0.23619472804463398,0.3114230448457317,14
14,3411,120,0.03518029903254178,0.3609052355635067,0.3581866970098162,0.31146499623918744,0.41866672316452547,15
15,3411,118,0.034593960715332744,0.5286804998582042,0.5154971120041968,0.41873919542591304,0.6446750109667025,16
