vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1381,104,0.07530774800868936,-0.44995206678267696,-0.42798714698166646,-0.6140188028352481,-0.34490456069933306,1
1,1380,91,0.06594202898550725,-0.29252652072476576,-0.29180153785113244,-0.3448513209551503,-0.24606009113320154,2
2,1380,97,0.07028985507246377,-0.20942152890110696,-0.20952018648398552,-0.24600158468895963,-0.17529466372813743,3
3,1380,99,0.07173913043478261,-0.14851884145538083,-0.14794978237029005,-0.17525234265973455,-0.12315228994163921,4
4,1380,74,0.0536231884057971,-0.09894105515442106,-0.09865270078199623,-0.12313750264839177,-0.07617219179742774,5
5,1381,84,0.0608254887762491,-0.05495173899390382,-0.05434185101263955,-0.07615245834567905,-0.03355227105539321,6
6,1380,77,0.05579710144927536,-0.012047605352701543,-0.01210305238036882,-0.03354340092275421,0.009299880948822455,7
7,1380,82,0.059420289855072465,0.02886386112391826,0.028737575676566273,0.009300267286033108,0.049214158992318326,8
8,1380,85,0.06159420289855073,0.07001036957358255,0.0704221761632706,0.049244308371426196,0.09051451977433568,9
9,1380,75,0.05434782608695652,0.1129567966267264,0.11300881344717695,0.09051794338849148,0.13522085891649674,10
10,1381,95,0.06879073135409124,0.15836290266770148,0.15801685685300487,0.1352276706391686,0.18158268429971267,11
11,1380,79,0.0572463768115942,0.20635518551255164,0.20621446240577512,0.18162485566566597,0.2335052051840885,12
12,1380,87,0.06304347826086956,0.26288118321784,0.2625434815871346,0.2335404420799218,0.2932441365209417,13
13,1380,98,0.07101449275362319,0.3270558763673392,0.3263675565305212,0.29327350212829323,0.3643582510026228,14
14,1380,83,0.060144927536231886,0.4112128049310839,0.4086126557266922,0.3643740811311709,0.46823718878187065,15
15,1380,90,0.06521739130434782,0.5629346339752922,0.5573497534592965,0.4684789178927492,0.6446750109667025,16
