vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,562,54,0.09608540925266904,-0.34288970844694566,-0.3200393239663436,-0.6070657618618239,-0.24117961837080362,1
1,561,46,0.08199643493761141,-0.1966356427685823,-0.19580982706520628,-0.24107778717524156,-0.16074225074786966,2
2,561,36,0.06417112299465241,-0.1370701509175715,-0.13654683205633203,-0.16073308594775426,-0.1144638725454026,3
3,561,34,0.06060606060606061,-0.09442043755328892,-0.09396377074281187,-0.11445440210109815,-0.07578899943963216,4
4,561,44,0.0784313725490196,-0.05558552631821199,-0.055770179729746926,-0.07575385546782844,-0.03579345581944021,5
5,562,34,0.060498220640569395,-0.015995748036147558,-0.01554706345107928,-0.03574925521044727,0.0020054582781762094,6
6,561,46,0.08199643493761141,0.020396927289219574,0.0212604444712392,0.002084029084610867,0.037902683274226814,7
7,561,40,0.07130124777183601,0.052107204202848006,0.05212826701948506,0.03791986391966269,0.06672066869012212,8
8,561,39,0.06951871657754011,0.08244658766444825,0.0825389929644917,0.06672510534652994,0.09672175410976841,9
9,561,31,0.05525846702317291,0.11317057109817664,0.11320932880282858,0.09674455672557054,0.12978898084082527,10
10,562,27,0.04804270462633452,0.14557797213831983,0.14489134411159582,0.12979094626133772,0.16195921989956577,11
11,561,40,0.07130124777183601,0.1797438971352272,0.17954910938506818,0.16209811112650876,0.1976887324101771,12
12,561,39,0.06951871657754011,0.2182137192758622,0.2181971983778657,0.19783914686036755,0.23956501630731947,13
13,561,27,0.0481283422459893,0.2648420947544453,0.2637590985306282,0.2395741479389605,0.293766691225266,14
14,561,38,0.0677361853832442,0.3332949119551523,0.33091388770729224,0.29383501935448664,0.38341899764756626,15
15,561,34,0.06060606060606061,0.506709289974902,0.4828081021084033,0.38423072201525416,0.715073382051501,16
