vent,n,draft_rate,poolq_mean,poolq_median
0,492,0.08739837398373984,-0.46472415768242636,-0.4372613509001942
1,491,0.06924643584521385,-0.3053022050879829,-0.3030657502366007
2,492,0.07520325203252033,-0.22127819015161385,-0.2192422434773082
3,491,0.0855397148676171,-0.1590737964909568,-0.1590386355348012
4,492,0.06300813008130081,-0.1088806529456786,-0.10840064245403433
5,491,0.06720977596741344,-0.06426848686609789,-0.06452386143612938
6,492,0.07317073170731707,-0.021221681681274446,-0.02104766943007879
7,491,0.06109979633401222,0.01936608782438996,0.019577964178157287
8,492,0.046747967479674794,0.060045763337146105,0.06037502906709095
9,491,0.07739307535641547,0.10150613496633823,0.10116589469177296
10,492,0.06300813008130081,0.14740206906487666,0.14824168285141537
11,491,0.06313645621181263,0.197814149102842,0.19765402674414048
12,492,0.05894308943089431,0.25416045666103326,0.2535801380991184
13,491,0.05295315682281059,0.31790704895805844,0.3161839677323439
14,492,0.06504065040650407,0.4034495871859121,0.39877223689639435
15,491,0.048879837067209775,0.5579877455345394,0.5509873562418306
