vent,n,draft_rate,poolq_mean,poolq_median
0,770,0.046753246753246755,-0.299389188167683,-0.2766713432624228
1,770,0.03896103896103896,-0.1730359741535423,-0.1706368709247571
2,770,0.03506493506493506,-0.12096354729802221,-0.12132917991990644
3,770,0.04415584415584416,-0.07903398315861297,-0.07913642977895827
4,770,0.024675324675324677,-0.038073979277824375,-0.03805362917113745
5,770,0.03766233766233766,0.00040520207494551633,0.00044655697969191914
6,770,0.04025974025974026,0.03405092016286641,0.03404167205111471
7,769,0.036410923276983094,0.06335127390294666,0.06334999495758895
8,770,0.03636363636363636,0.0912526256532668,0.0916156465722291
9,770,0.025974025974025976,0.1190936498340061,0.11916924713303767
10,770,0.023376623376623377,0.14678147636705668,0.1467810377089645
11,770,0.03116883116883117,0.17750982310841235,0.17726844103855305
12,770,0.03506493506493506,0.21606832417126873,0.21581553477129745
13,770,0.02727272727272727,0.2639340584388257,0.2635701549372279
14,770,0.02857142857142857,0.3255761874381608,0.3226606578799136
15,769,0.031209362808842653,0.4786332433172951,0.4574068569633673
