vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1140,22,0.01929824561403509,-0.5321553257678179,-0.5218782437634302,-0.6140188028352481,-0.44143846883889687,1
1,1140,29,0.02543859649122807,-0.39089337080224457,-0.3875963539229196,-0.44142359448157314,-0.3498988087527864,2
2,1140,30,0.02631578947368421,-0.3173498727479443,-0.3177216668996854,-0.3498622424100835,-0.2856358502257381,3
3,1139,23,0.02019315188762072,-0.25915821071099193,-0.258932801198728,-0.2856005314622101,-0.23468529098109056,4
4,1140,22,0.01929824561403509,-0.21290175825131344,-0.21234025624815445,-0.23464468347789216,-0.1925612169554923,5
5,1140,34,0.02982456140350877,-0.17269674247473782,-0.17262451182401925,-0.19255624768305227,-0.15338407823236072,6
6,1140,36,0.031578947368421054,-0.13525118034127348,-0.13537058729690205,-0.15336214737134884,-0.11760616290810899,7
7,1139,19,0.016681299385425813,-0.0988150652715306,-0.09864973761835989,-0.11760172481722132,-0.08138340834174145,8
8,1140,29,0.02543859649122807,-0.06484467674453141,-0.06505482371670832,-0.08134700650716462,-0.04830902395074745,9
9,1140,26,0.02280701754385965,-0.031412346389576226,-0.031246200081615723,-0.04827190918152274,-0.015099798379348451,10
10,1140,30,0.02631578947368421,0.0018524638297557994,0.0014340318197557786,-0.015051457616555786,0.018900691631357772,11
11,1139,26,0.0228270412642669,0.03620048184450554,0.036054260599265614,0.018905688566516622,0.053605713501487594,12
12,1140,33,0.02894736842105263,0.07123293411970164,0.07154921847291681,0.053643982695570115,0.08868380448213355,13
13,1140,33,0.02894736842105263,0.10667589762537957,0.10666887479181103,0.08868406801751191,0.1268078448416012,14
14,1140,32,0.028070175438596492,0.14758164654343295,0.14793251299685012,0.12680816415642807,0.16892429364227993,15
15,1139,36,0.03160667251975417,0.1933511630425644,0.19296004323389523,0.16895108101283138,0.21796020372553304,16
16,1140,39,0.034210526315789476,0.2461641992058922,0.24531287365561333,0.21796277677440015,0.27617257846533266,17
17,1140,37,0.03245614035087719,0.30806046851769026,0.307074959793771,0.2762297135851638,0.34399418428852435,18
18,1140,40,0.03508771929824561,0.39208807760274683,0.39014945979283383,0.3440203471769582,0.4503175688027806,19
19,1139,39,0.03424056189640035,0.5507067127859813,0.5429405884994934,0.45037153164521043,0.6446750109667025,20
