vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1140,31,0.027192982456140352,-0.39165096960206053,-0.37581378249589514,-0.6070657618618239,-0.2980279246905824,1
1,1140,35,0.03070175438596491,-0.2544944908579855,-0.2527898089876599,-0.29794248033220233,-0.2185335218865494,2
2,1140,29,0.02543859649122807,-0.1908799013851328,-0.19023680281155797,-0.21850947919357536,-0.1663216581026239,3
3,1139,26,0.0228270412642669,-0.14630882044622834,-0.14624346323896376,-0.16626680379086667,-0.12672598558632953,4
4,1140,38,0.03333333333333333,-0.10938420977427267,-0.109493068296199,-0.12670022229447048,-0.09293711837016487,5
5,1140,31,0.027192982456140352,-0.07764331590098232,-0.07744894568860508,-0.09292692720802892,-0.06257666925353159,6
6,1140,24,0.021052631578947368,-0.04848595929416775,-0.04833722418601069,-0.06254642783282302,-0.0346106343423017,7
7,1139,30,0.02633889376646181,-0.021002314319775717,-0.02062075469530792,-0.034574796147345814,-0.008201792922212533,8
8,1140,23,0.02017543859649123,0.004460826076617312,0.004577868123062654,-0.00817049297171564,0.016889804013716085,9
9,1140,32,0.028070175438596492,0.029987038728508577,0.030183863401739047,0.016920080886412562,0.042385221814915004,10
10,1140,34,0.02982456140350877,0.05390321335651973,0.053869112841451156,0.04239530533389099,0.0654913761995177,11
11,1139,33,0.02897278314310799,0.07828956122908629,0.07808844338252614,0.06549878933515958,0.09108477046931261,12
12,1140,27,0.02368421052631579,0.1032055611024762,0.1028038388839226,0.09110335285869146,0.11615414609859954,13
13,1140,23,0.02017543859649123,0.1294267854466774,0.12938874227651362,0.11617294955791063,0.14262511384920792,14
14,1140,24,0.021052631578947368,0.15622797373416886,0.15593735906466188,0.14264941473584622,0.17059385923347278,15
15,1139,37,0.0324846356453029,0.18685703579589277,0.18629025999093204,0.17067560956431788,0.2040110027494623,16
16,1140,36,0.031578947368421054,0.2242763552298025,0.22416720322781852,0.2040147251973756,0.24653387154957324,17
17,1140,28,0.02456140350877193,0.27241726938891747,0.2709408593972032,0.24655140974582004,0.3034199978297776,18
18,1140,39,0.034210526315789476,0.34613172329444153,0.34398943083674116,0.30342734232633295,0.3987745805042127,19
19,1139,29,0.025460930640913083,0.5272344399499884,0.4980931096425693,0.39899561125119903,0.715073382051501,20
