vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,475,45,0.09473684210526316,-0.47821078618910184,-0.4597876003483275,-0.6140188028352481,-0.3756396626328144,1
1,474,37,0.07805907172995781,-0.3278898609467117,-0.3258726700654013,-0.37545266482907635,-0.2850915727456118,2
2,474,28,0.05907172995780591,-0.2508721107208046,-0.25072477210651634,-0.2850294942370111,-0.21877624707641172,3
3,474,36,0.0759493670886076,-0.1928168314860289,-0.19294857636852455,-0.21874394917174783,-0.16762667904645953,4
4,474,40,0.08438818565400844,-0.14700546226751288,-0.14620599989153818,-0.16760573646650379,-0.125978467200933,5
5,474,25,0.052742616033755275,-0.10679374375955986,-0.1062151953430032,-0.125952258320113,-0.08836546619420063,6
6,475,28,0.05894736842105263,-0.07111793330726564,-0.07094688649099064,-0.0883062261275129,-0.05374036792972105,7
7,474,29,0.06118143459915612,-0.03718322348804062,-0.037691775400833565,-0.05367894321654214,-0.020087166429619333,8
8,474,28,0.05907172995780591,-0.0030660062654061645,-0.003461548755979176,-0.0200038273444735,0.013370031924327598,9
9,474,26,0.05485232067510549,0.029225603369705415,0.029704602929825304,0.013376068472126903,0.0453338044857454,10
10,474,22,0.046413502109704644,0.062160684187038844,0.06342197923444368,0.04540518295815107,0.07754502305347905,11
11,474,38,0.08016877637130802,0.09387386685425662,0.09375233542757425,0.0775466091906121,0.11091729619713737,12
12,474,22,0.046413502109704644,0.12919582487726383,0.12951611639002286,0.11098569121054162,0.14801001202749306,13
13,475,37,0.07789473684210527,0.16566027826866744,0.1653115520631882,0.14804728082769852,0.1848796674986709,14
14,474,28,0.05907172995780591,0.20684240938257842,0.2070733764718117,0.18491876342824143,0.22756284198303162,15
15,474,29,0.06118143459915612,0.2512552983623624,0.2512227719251601,0.22767026944211538,0.2754332253823802,16
16,474,27,0.056962025316455694,0.30023683016127484,0.29918636678058175,0.2755361473573226,0.3269675367418921,17
17,474,30,0.06329113924050633,0.35873064135752386,0.35713730820788114,0.32700745329763226,0.3924028590932037,18
18,474,34,0.07172995780590717,0.4386389658100789,0.43606225403894416,0.39245612927601103,0.4967545485261105,19
19,474,26,0.05485232067510549,0.5791518860678924,0.5762421937363307,0.4969009337453706,0.6446750109667025,20
