vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,1043,37,0.03547459252157239,-0.38038353225324595,-0.3557072491813473,-0.6070657618618239,-0.2761740858700287,1
1,1042,46,0.044145873320537425,-0.22976470220861578,-0.22825759571380153,-0.2760688006396346,-0.19195806494825032,2
2,1042,27,0.025911708253358926,-0.16681583045850712,-0.16584010706440147,-0.19180925882259955,-0.14370397290824113,3
3,1043,36,0.03451581975071908,-0.12481875637366956,-0.12503742550927502,-0.14369161512098275,-0.10568040058654705,4
4,1042,29,0.02783109404990403,-0.08896295629278932,-0.08841891477001472,-0.10567872711169633,-0.07249974143554218,5
5,1042,37,0.03550863723608445,-0.056097604627074506,-0.055850769777249315,-0.07249513064386644,-0.040122005633463416,6
6,1043,32,0.030680728667305847,-0.023685697609572266,-0.02307211581659647,-0.04010833027091658,-0.008273979896211793,7
7,1042,29,0.02783109404990403,0.006435106294481278,0.006298428804707434,-0.008248990057851045,0.021201114476146143,8
8,1042,37,0.03550863723608445,0.03463918324991212,0.03516024112373711,0.0212604444712392,0.04723340479589046,9
9,1042,29,0.02783109404990403,0.05907102667450512,0.05896232538024396,0.047242430083250964,0.07117760123254885,10
10,1043,32,0.030680728667305847,0.08371183425066564,0.08380218162421363,0.07119687229580467,0.09560996259859755,11
11,1042,25,0.02399232245681382,0.10790660725451505,0.10820049489754088,0.09562445425970524,0.12045917720305757,12
12,1042,24,0.023032629558541268,0.13264059095003405,0.13253751808540043,0.1204804049299895,0.14457850324686491,13
13,1043,20,0.019175455417066157,0.1574801316371265,0.15706814060091448,0.14458072843691935,0.17112662682355131,14
14,1042,35,0.03358925143953935,0.18511581891254617,0.1848439190898032,0.17114430169867015,0.20019184712588944,15
15,1042,25,0.02399232245681382,0.21682996610161615,0.21674834573770255,0.20023548185316728,0.23397509858795426,16
16,1043,25,0.023969319271332695,0.2530534750324719,0.25315661756392777,0.23407936545768135,0.2732009639513631,17
17,1042,25,0.02399232245681382,0.29743038787952636,0.29659446366025155,0.2732418479542071,0.32415021543632944,18
18,1042,34,0.03262955854126679,0.36647707458435086,0.36386500078340955,0.3241890969626855,0.4186163787978377,19
19,1042,25,0.02399232245681382,0.5325161271286301,0.5020984107115682,0.41867387868801714,0.715073382051501,20
