vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,419,1,0.002386634844868735,-0.6428648732124695,-0.6672428951883281,-0.6672428951883281,-0.5665764143546989,1,-0.6672428951883281,-0.5664946914480851,-0.6168687933182067,"[-0.6672, -0.5665)"
1,271,0,0.0,-0.5128800184544101,-0.5153464073542059,-0.5641923049304319,-0.46872563416184704,2,-0.5664946914480851,-0.46574648770784205,-0.5161205895779636,"[-0.5665, -0.4657)"
2,587,3,0.005110732538330494,-0.4077524800484895,-0.4043640601089296,-0.46570814080731987,-0.36502818845301543,3,-0.46574648770784205,-0.36499828396759904,-0.4153723858377205,"[-0.4657, -0.365)"
3,815,1,0.001226993865030675,-0.3068578537948474,-0.3032560381318198,-0.3634977563964452,-0.2643424436000513,4,-0.36499828396759904,-0.26425008022735597,-0.3146241820974775,"[-0.365, -0.2643)"
4,1503,4,0.0026613439787092482,-0.21004548984306262,-0.20540700282948504,-0.26409037292771953,-0.1645532787818434,5,-0.26425008022735597,-0.1635018764871129,-0.21387597835723443,"[-0.2643, -0.1635)"
5,2223,14,0.006297795771479982,-0.11090702672729928,-0.11080405326150566,-0.1630368503198346,-0.06290179285244386,6,-0.1635018764871129,-0.06275367274686994,-0.11312777461699142,"[-0.1635, -0.06275)"
6,2985,18,0.006030150753768844,-0.011374744595916654,-0.009011551177522706,-0.06208502792020926,0.03798892048517901,7,-0.06275367274686994,0.03799453099337313,-0.012379570876748403,"[-0.06275, 0.03799)"
7,3343,45,0.013460963206700568,0.09054466090208264,0.09026812645531111,0.03801992340132754,0.1386496798000805,8,0.03799453099337313,0.1387427347336162,0.08836863286349467,"[0.03799, 0.1387)"
8,3344,68,0.02033492822966507,0.1878220423069253,0.1888510964470838,0.13878513718565552,0.23921224726904225,9,0.1387427347336162,0.23949093847385927,0.18911683660373774,"[0.1387, 0.2395)"
9,2464,77,0.03125,0.2870007042395493,0.28544741704017834,0.239492453527565,0.3400495018946051,10,0.23949093847385927,0.34023914221410234,0.2898650403439808,"[0.2395, 0.3402)"
10,1952,78,0.039959016393442626,0.3871799388674716,0.383946846023521,0.3407048651587743,0.44079803750214025,11,0.34023914221410234,0.4409873459543453,0.3906132440842238,"[0.3402, 0.441)"
11,1082,91,0.08410351201478743,0.4872041007214704,0.4857228535063049,0.44139450813881803,0.5416481837141561,12,0.4409873459543453,0.5417355496945883,0.4913614478244668,"[0.441, 0.5417)"
12,716,53,0.07402234636871509,0.5866122488689984,0.5847459778567553,0.5422520722171733,0.6418341100319339,13,0.5417355496945883,0.6424837534348314,0.5921096515647098,"[0.5417, 0.6425)"
13,442,48,0.1085972850678733,0.6879087762297674,0.6893350816803107,0.6433722506661367,0.7421750262327751,14,0.6424837534348314,0.7432319571750744,0.6928578553049529,"[0.6425, 0.7432)"
14,258,45,0.1744186046511628,0.7885114066717338,0.7863350143819567,0.7436292059820826,0.8433499495349721,15,0.7432319571750744,0.8439801609153176,0.793606059045196,"[0.7432, 0.844)"
15,391,63,0.16112531969309463,0.9206042230868288,0.9447283646555604,0.8444055080314673,0.9447283646555604,16,0.8439801609153176,0.9447283646555604,0.8943542627854391,"[0.844, 0.9447)"
