vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,366,2,0.00546448087431694,-0.22713847781672422,-0.2387321772411672,-0.2387321772411672,-0.1908644685299755,1,-0.2387321772411672,-0.19084335954149032,-0.21478776839132874,"[-0.2387, -0.1908)"
1,303,4,0.013201320132013201,-0.16718512917501271,-0.16689211166494114,-0.19006811110144012,-0.14329947899883289,2,-0.19084335954149032,-0.14295454184181344,-0.1668989506916519,"[-0.1908, -0.143)"
2,428,5,0.011682242990654205,-0.11889054388952253,-0.12076932632055833,-0.1402125156227225,-0.09580105114066849,3,-0.14295454184181344,-0.09506572414213657,-0.119010132991975,"[-0.143, -0.09507)"
3,957,13,0.013584117032392894,-0.06937877407772926,-0.06981554453602379,-0.09477630038659164,-0.04723496188970999,4,-0.09506572414213657,-0.0471769064424597,-0.07112131529229813,"[-0.09507, -0.04718)"
4,1558,34,0.021822849807445442,-0.021229313421387352,-0.020318844221691557,-0.04683703959929091,0.00044468409954132797,5,-0.0471769064424597,0.0007119112572171737,-0.023232497592621262,"[-0.04718, 0.0007119)"
5,1688,36,0.02132701421800948,0.023959084518578772,0.022863410466022967,0.0010518314754519957,0.04811753446664861,6,0.0007119112572171737,0.048600728956894046,0.02465632010705561,"[0.0007119, 0.0486)"
6,2273,49,0.02155741311042675,0.07399232961144239,0.0726560076251971,0.04875568163417348,0.09626073379562089,7,0.048600728956894046,0.09648954665657089,0.07254513780673247,"[0.0486, 0.09649)"
7,2439,53,0.021730217302173022,0.12039786466770898,0.12050732154538935,0.09659221990796446,0.14436646882855475,8,0.09648954665657089,0.1443783643562478,0.12043395550640934,"[0.09649, 0.1444)"
8,2612,76,0.02909647779479326,0.167233953059634,0.1670907763238284,0.14460234830585972,0.19182451004670834,9,0.1443783643562478,0.1922671820559247,0.16832277320608624,"[0.1444, 0.1923)"
9,2241,65,0.02900490852298081,0.21504913985103896,0.2157163604026422,0.1923602071543124,0.24010307727337368,10,0.1922671820559247,0.24015599975560153,0.2162115909057631,"[0.1923, 0.2402)"
10,1928,80,0.04149377593360996,0.2618676148508844,0.2616177116537652,0.24038023965643587,0.2871759298924502,11,0.24015599975560153,0.2880448174552784,0.26410040860543993,"[0.2402, 0.288)"
11,1420,56,0.03943661971830986,0.3119713006368098,0.31164365201812616,0.28807701025121923,0.3358843986968171,12,0.2880448174552784,0.3359336351549553,0.31198922630511683,"[0.288, 0.3359)"
12,1046,57,0.05449330783938815,0.3582874432068056,0.3567913567081666,0.33652963939289876,0.38369542258939776,13,0.3359336351549553,0.3838224528546322,0.35987804400479373,"[0.3359, 0.3838)"
13,740,26,0.03513513513513514,0.4038362287546792,0.4032599753090225,0.383946846023521,0.42979033129985367,14,0.3838224528546322,0.43171127055430897,0.4077668617044706,"[0.3838, 0.4317)"
14,416,29,0.06971153846153846,0.45802609904973435,0.45833580359563203,0.43562286691277746,0.47924118818570105,15,0.43171127055430897,0.47960008825398587,0.4556556794041474,"[0.4317, 0.4796)"
15,431,24,0.05568445475638051,0.5143877401984333,0.5267256046147369,0.4815189725429057,0.5274889059536627,16,0.47960008825398587,0.5274889059536627,0.5035444971038243,"[0.4796, 0.5275)"
