vent,n,draft_rate,poolq_mean,poolq_median
0,845,0.001183431952662722,-0.5547967319653149,-0.5683227593181167
1,704,0.0,-0.482757476503298,-0.488679572627551
2,1028,0.006809338521400778,-0.41800472709977954,-0.4190063386164282
3,1465,0.007508532423208191,-0.3582949579325734,-0.3564836805287727
4,2529,0.015025701858442072,-0.2990591986468969,-0.2954938425638832
5,2446,0.013082583810302535,-0.24069455127802905,-0.23997991846093655
6,3531,0.016992353440951572,-0.18311556391784306,-0.18353415753692484
7,4127,0.015992246183668523,-0.12341147927832999,-0.12270865923421015
8,4353,0.01677004364805881,-0.06552759827022679,-0.06709661999146153
9,4111,0.022378983215762586,-0.005139695335446989,-0.004845275780497272
10,4621,0.02380437134819303,0.05288651162804314,0.05160084153000682
11,3753,0.025845989874766852,0.11117071354073357,0.11014465001434015
12,3443,0.03194888178913738,0.17232829917333886,0.17056680846638494
13,2413,0.04061334438458351,0.2319638519819662,0.23049599382021027
14,1994,0.04513540621865597,0.2886767387828824,0.2900123355163275
15,1617,0.04823747680890538,0.3462516216942063,0.3444968824487891
16,1212,0.04867986798679868,0.4089981237766682,0.408284617781743
17,752,0.030585106382978722,0.4654515335352449,0.4634851033553477
18,612,0.06535947712418301,0.5275634369350376,0.5288259408384712
19,750,0.064,0.6060559525150669,0.6168635672651447
