vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,161,1,0.006211180124223602,-1.1262307827674334,-1.1533202903543094,-1.1533202903543094,-1.0407245798803058,1,-1.1533202903543094,-1.0312909078255945,-1.092305599089952,"[-1.153, -1.031)"
1,70,1,0.014285714285714285,-0.9499965660696081,-0.944228169723862,-1.0242235601090746,-0.9093126373029393,2,-1.0312909078255945,-0.9092615252968799,-0.9702762165612372,"[-1.031, -0.9093)"
2,92,1,0.010869565217391304,-0.8373485756105766,-0.8392873778489821,-0.8900448073790572,-0.798998598235786,3,-0.9092615252968799,-0.7872321427681651,-0.8482468340325224,"[-0.9093, -0.7872)"
3,164,2,0.012195121951219513,-0.715904848256494,-0.7202196968679752,-0.7812603240330893,-0.6658989311717843,4,-0.7872321427681651,-0.6652027602394504,-0.7262174515038078,"[-0.7872, -0.6652)"
4,300,3,0.01,-0.6074776339949555,-0.6076597286020697,-0.6650420271869429,-0.5459553868393944,5,-0.6652027602394504,-0.5431733777107356,-0.6041880689750929,"[-0.6652, -0.5432)"
5,463,9,0.019438444924406047,-0.48275782771200704,-0.48264420824270937,-0.5422838116711092,-0.42375343361018997,6,-0.5431733777107356,-0.42114399518202084,-0.4821586864463782,"[-0.5432, -0.4211)"
6,542,12,0.02214022140221402,-0.3568638055176384,-0.3548134488272756,-0.41957711810052256,-0.299342575372527,7,-0.42114399518202084,-0.2991146126533061,-0.36012930391766346,"[-0.4211, -0.2991)"
7,794,14,0.017632241813602016,-0.23567696784605108,-0.2325332756107188,-0.2978461466448472,-0.17927033736382064,8,-0.2991146126533061,-0.17708523012459132,-0.2380999213889487,"[-0.2991, -0.1771)"
8,1065,28,0.02629107981220657,-0.11206209913608342,-0.10726340028263849,-0.1767363068138151,-0.055307364356294374,9,-0.17708523012459132,-0.05505584759587645,-0.11607053886023389,"[-0.1771, -0.05506)"
9,1123,34,0.030276046304541407,0.006135533796955059,0.004640665956076262,-0.05400312783506933,0.06641987751345386,10,-0.05505584759587645,0.0669735349328382,0.005958843668480873,"[-0.05506, 0.06697)"
10,1039,63,0.06063522617901829,0.12672177059709755,0.12650443792245028,0.06717989998978624,0.18865945775165577,11,0.0669735349328382,0.18900291746155284,0.12798822619719552,"[0.06697, 0.189)"
11,978,75,0.07668711656441718,0.24449909072581652,0.24468954299059947,0.19052584194186936,0.3110134160500735,12,0.18900291746155284,0.3110322999902677,0.2500176087259103,"[0.189, 0.311)"
12,745,65,0.087248322147651,0.3700986522939295,0.37049593634053246,0.31318598227453015,0.4329466166568059,13,0.3110322999902677,0.4330616825189826,0.37204699125462515,"[0.311, 0.4331)"
13,643,59,0.09175738724727839,0.4945697068803878,0.4924476725795689,0.4349639277676619,0.5546651546481272,14,0.4330616825189826,0.5550910650476972,0.4940763737833399,"[0.4331, 0.5551)"
14,398,58,0.1457286432160804,0.6144718080526471,0.6121202574689459,0.5557338741376726,0.6760700300014836,15,0.5550910650476972,0.6771204475764119,0.6161057563120546,"[0.5551, 0.6771)"
15,321,55,0.17133956386292834,0.7340932046200214,0.7317359611401895,0.6797546409670353,0.7966626782965284,16,0.6771204475764119,0.7991498301051267,0.7381351388407693,"[0.6771, 0.7991)"
16,189,34,0.17989417989417988,0.8545030612449885,0.8436545945364066,0.8029424277243576,0.9141391512085276,17,0.7991498301051267,0.9211792126338416,0.8601645213694842,"[0.7991, 0.9212)"
17,123,24,0.1951219512195122,0.9856308483203151,0.9866209997413442,0.9233561968589684,1.0365805293578103,18,0.9211792126338416,1.0432085951625565,0.982193903898199,"[0.9212, 1.043)"
18,104,35,0.33653846153846156,1.0989760567556595,1.0937986535385522,1.0442522451982417,1.1593640472434419,19,1.0432085951625565,1.165237977691271,1.1042232864269137,"[1.043, 1.165)"
19,169,42,0.2485207100591716,1.259164388667518,1.2872673602199858,1.1687347005469713,1.2872673602199858,20,1.165237977691271,1.2872673602199858,1.2262526689556283,"[1.165, 1.287)"
