vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,124,1,0.008064516129032258,-0.6572868412109089,-0.668906819963243,-0.668906819963243,-0.5885731324243606,1,-0.668906819963243,-0.5859427062960965,-0.6274247631296697,"[-0.6689, -0.5859)"
1,51,0,0.0,-0.5436571063970896,-0.5453488793834769,-0.5845882134298821,-0.5032070951381499,2,-0.5859427062960965,-0.50297859262895,-0.5444606494625233,"[-0.5859, -0.503)"
2,84,1,0.011904761904761904,-0.4487583707369208,-0.43916513378937944,-0.4954889789583479,-0.42112679669623815,3,-0.50297859262895,-0.42001447896180344,-0.4614965357953767,"[-0.503, -0.42)"
3,149,2,0.013422818791946308,-0.37988485124058247,-0.37776786115501404,-0.4189753298736307,-0.3373340883681659,4,-0.42001447896180344,-0.33705036529465693,-0.3785324221282302,"[-0.42, -0.3371)"
4,210,2,0.009523809523809525,-0.28877920203659757,-0.28074313857912747,-0.3360806825867334,-0.2547627883361488,5,-0.33705036529465693,-0.2540862516275104,-0.2955683084610837,"[-0.3371, -0.2541)"
5,417,7,0.016786570743405275,-0.20999229911055106,-0.20816821306714772,-0.25322969424476927,-0.17188730521224316,6,-0.2540862516275104,-0.1711221379603639,-0.21260419479393716,"[-0.2541, -0.1711)"
6,456,12,0.02631578947368421,-0.12635772828804545,-0.11979640624019912,-0.17044336878911134,-0.08821274435936444,7,-0.1711221379603639,-0.0881580242932174,-0.12964008112679065,"[-0.1711, -0.08816)"
7,726,16,0.02203856749311295,-0.04627727928767186,-0.04754609740077399,-0.08795320572917177,-0.0055654786004803725,8,-0.0881580242932174,-0.005193910626070886,-0.04667596745964414,"[-0.08816, -0.005194)"
8,1126,30,0.02664298401420959,0.04112510587420602,0.04457872909910806,-0.004679340151780856,0.07755494770940834,9,-0.005193910626070886,0.07777020304107563,0.03628814620750237,"[-0.005194, 0.07777)"
9,1035,36,0.034782608695652174,0.12224602109064536,0.12144954158444757,0.07798092817233603,0.16060796009442863,10,0.07777020304107563,0.16073431670822214,0.11925225987464888,"[0.07777, 0.1607)"
10,1118,70,0.0626118067978533,0.20001658271664347,0.19913360025667776,0.16094213695748502,0.24306271382488526,11,0.16073431670822214,0.24369843037536865,0.2022163735417954,"[0.1607, 0.2437)"
11,1030,77,0.07475728155339806,0.2808401613785704,0.2813118709096682,0.24378083824750324,0.32630690999026796,12,0.24369843037536865,0.32666254404251516,0.2851804872089419,"[0.2437, 0.3267)"
12,783,66,0.0842911877394636,0.36974584542702166,0.371036308957706,0.3268499525557311,0.4094409491237222,13,0.32666254404251516,0.40962665770966156,0.36814460087608836,"[0.3267, 0.4096)"
13,551,70,0.12704174228675136,0.4514800384425767,0.453283222075987,0.41017732825052294,0.4923015319078495,14,0.40962665770966156,0.4925907713768082,0.45110871454323487,"[0.4096, 0.4926)"
14,395,63,0.15949367088607594,0.5336982219378947,0.5312123821548725,0.4949205396684632,0.5741714395636024,15,0.4925907713768082,0.5755548850439548,0.5340728282103815,"[0.4926, 0.5756)"
15,242,43,0.17768595041322313,0.6112616052407212,0.6065218751672192,0.576670344458806,0.6583219106710948,16,0.5755548850439548,0.6585189987111012,0.617036941877528,"[0.5756, 0.6585)"
16,144,28,0.19444444444444445,0.700069229903598,0.7006281503305248,0.6610598133930198,0.7394133739548484,17,0.6585189987111012,0.7414831123782476,0.7000010555446744,"[0.6585, 0.7415)"
17,118,26,0.22033898305084745,0.7779816262185119,0.7742573392256489,0.7437847032970651,0.8234021361807496,18,0.7414831123782476,0.8244472260453942,0.7829651692118209,"[0.7415, 0.8244)"
18,97,30,0.30927835051546393,0.8624575091329052,0.8606447130063989,0.8250042229388502,0.9044387565980181,19,0.8244472260453942,0.9074113397125408,0.8659292828789675,"[0.8244, 0.9074)"
19,123,29,0.23577235772357724,0.9798910005558773,0.9903754533796874,0.9085464327637912,0.9903754533796874,20,0.9074113397125408,0.9903754533796874,0.9488933965461142,"[0.9074, 0.9904)"
