vent,n,draft_rate,poolq_mean,poolq_median
0,112,0.008928571428571428,-0.5868721026145147,-0.5978714580868653
1,40,0.0,-0.47860383327433864,-0.48307029638229565
2,124,0.016129032258064516,-0.40774536115760074,-0.4070809268073239
3,90,0.011111111111111112,-0.3349714631493352,-0.3327006273992765
4,183,0.01092896174863388,-0.25669851950530337,-0.2580306721323514
5,320,0.028125,-0.18917787739669442,-0.1908644685299755
6,390,0.020512820512820513,-0.1079113872017369,-0.10732715713034639
7,541,0.024029574861367836,-0.03835626387465891,-0.04271120157898518
8,867,0.03229527104959631,0.04154401359341396,0.045090682788171944
9,787,0.035578144853875476,0.11413558683434061,0.1160458848626354
10,841,0.057074910820451845,0.18426228472830364,0.18158832100827005
11,885,0.08700564971751412,0.2607533727404863,0.26113073017325783
12,579,0.0690846286701209,0.3342564201796749,0.3369014628213535
13,477,0.09014675052410902,0.4068836652953968,0.4026359559422215
14,393,0.15521628498727735,0.47817795624525605,0.47562043242188956
15,294,0.16326530612244897,0.5558882731363629,0.5501688480562027
16,123,0.21951219512195122,0.6289462714197742,0.6295514009604349
17,95,0.22105263157894736,0.7048486109168767,0.7011365095922603
18,78,0.2948717948717949,0.7724688278722974,0.7728502094387688
19,140,0.24285714285714285,0.8730626655717117,0.8928230943556842
