vent,n,draft_rate,poolq_mean,poolq_median
0,167,0.005988023952095809,-0.2007060825069439,-0.2047061801346186
1,87,0.0,-0.1492976112986903,-0.1489066368803195
2,185,0.005405405405405406,-0.11630326615085305,-0.11814336884088372
3,312,0.01282051282051282,-0.0791114557988623,-0.0783793379090513
4,487,0.028747433264887063,-0.04129702025249363,-0.041410243334771814
5,687,0.021834061135371178,-0.006355020107096823,-0.007225305972820332
6,689,0.026124818577648767,0.027605091968902803,0.027486983054122907
7,986,0.02738336713995943,0.06617814691822888,0.06587588197109207
8,1115,0.02242152466367713,0.10033946711753543,0.09910092093481121
9,1364,0.026392961876832845,0.13669153336784146,0.13824753154580838
10,1181,0.04064352243861134,0.17309021641453504,0.1722646531744722
11,1021,0.03525954946131244,0.20846454992876626,0.2080683742259091
12,895,0.05027932960893855,0.24353748826465607,0.24506364459374205
13,860,0.04186046511627907,0.27919561446240554,0.2789509773762612
14,666,0.04354354354354354,0.31630185121992727,0.31565243518521413
15,532,0.05075187969924812,0.34980467853444147,0.3479282381234543
16,496,0.046370967741935484,0.3884349997753531,0.38944160902732683
17,179,0.03910614525139665,0.41826734537228677,0.41658886016551006
18,233,0.055793991416309016,0.46056823917286144,0.4585351008582203
19,176,0.07386363636363637,0.5081380984432623,0.5147373938891316
