vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,3412,5,0.0014654161781946073,-0.21734226682796615,-0.2066032814441175,-0.3026789406898132,-0.14411002974729922,1
1,3411,8,0.0023453532688361184,-0.10696025873566699,-0.1055058413512413,-0.14411002974729922,-0.07825951335718861,2
2,3412,25,0.007327080890973036,-0.055947352256728075,-0.055467937433848216,-0.07825951335718861,-0.0341213376115495,3
3,3411,17,0.004983875696276752,-0.017850311141704836,-0.017654934521216456,-0.0341213376115495,-0.0005178781885489208,4
4,3411,21,0.006156552330694811,0.014768202308984617,0.015321122357151305,-0.0005178781885489208,0.029559564623820186,5
5,3412,30,0.008792497069167644,0.04455929610610036,0.044728082033003685,0.029559564623820186,0.06006289623342361,6
6,3411,30,0.008795074758135445,0.07202306804482657,0.07170598487408232,0.06006289623342361,0.08414376066034276,7
7,3411,23,0.0067428906479038405,0.09797623497815677,0.09726149565515066,0.08414376066034276,0.11096405766207966,8
8,3412,31,0.009085580304806565,0.12456449033749824,0.12486040725556334,0.11099386082461131,0.13757033876877117,9
9,3411,33,0.009674582233948988,0.14884132781736842,0.14867137221264698,0.13757033876877117,0.16029753021889312,10
10,3412,45,0.013188745603751465,0.17365878938483825,0.17323820378016075,0.16029753021889312,0.18739149002879837,11
11,3411,39,0.011433597185576077,0.2023895060687367,0.20149920368469101,0.18739149002879837,0.2179866370430427,12
12,3411,53,0.015537965406039285,0.23439389922106427,0.23507004993987443,0.2179866370430427,0.25072913075287057,13
13,3412,75,0.021981242672919107,0.27504910996928633,0.2747475124279095,0.25072913075287057,0.3014506258691082,14
14,3411,71,0.02081501026092055,0.3311175308298277,0.32950754420737655,0.3014506258691082,0.36568022406635264,15
15,3411,103,0.030196423336265026,0.4326892519720522,0.41658886016551006,0.36568022406635264,0.5139587360936769,16
