vent,n,draft_rate,poolq_mean,poolq_median
0,1053,0.002849002849002849,-0.39586945360088055,-0.37852742329146555
1,1052,0.005703422053231939,-0.20771496922324698,-0.20368350106363156
2,1052,0.0038022813688212928,-0.12125810405788982,-0.11953466783739523
3,1052,0.005703422053231939,-0.06111694048104091,-0.060829349806634174
4,1053,0.003798670465337132,-0.011656451545520823,-0.009549810445004072
5,1052,0.010456273764258554,0.032889115884189316,0.03377708304507906
6,1052,0.011406844106463879,0.07565094872149945,0.07392828186021
7,1052,0.015209125475285171,0.11392392965587295,0.11380580935095766
8,1053,0.006647673314339981,0.14855762212547052,0.14794236868255464
9,1052,0.022813688212927757,0.1868085764030957,0.18755204187143903
10,1052,0.019961977186311788,0.22651072493528324,0.2254219112367654
11,1052,0.029467680608365018,0.2742515993945452,0.2746981725875894
12,1053,0.023741690408357077,0.32717060798297126,0.32669655184396656
13,1052,0.043726235741444866,0.39361660985958513,0.3928047208008407
14,1052,0.07984790874524715,0.4880881580155239,0.48463515364773935
15,1052,0.11216730038022814,0.702004404539901,0.6747540887223947
