vent,n,draft_rate,poolq_mean,poolq_median
0,460,0.010869565217391304,-0.41593881876585653,-0.39784503614616246
1,460,0.021739130434782608,-0.19359768791339294,-0.19146768091748198
2,460,0.02608695652173913,-0.09334272330934482,-0.08937885065205016
3,460,0.021739130434782608,-0.027304637323545777,-0.028175022660949806
4,460,0.02826086956521739,0.028114509470285355,0.02832966562234652
5,460,0.030434782608695653,0.06588144072293996,0.06594148164661012
6,460,0.043478260869565216,0.10851756952329339,0.11005563428253887
7,460,0.03695652173913044,0.14907622150065628,0.14676671032264194
8,460,0.05217391304347826,0.18682672808368236,0.18860781484794734
9,460,0.08043478260869565,0.22789909108369644,0.22538709897222084
10,460,0.1,0.2698122769680619,0.2714580119802649
11,460,0.07173913043478261,0.31098122432360703,0.3123428308882139
12,460,0.06521739130434782,0.3713700237634277,0.3696522868175594
13,460,0.12391304347826088,0.44080575073827516,0.44059293566964364
14,460,0.15869565217391304,0.5295644684985287,0.529718977197998
15,459,0.24618736383442266,0.7416849298225041,0.7337940995616329
